business_id,sc_points_red,sc_rewards_count
BZID-1304475608,22500.0,2
BZID-1304457957,2250.0,1
BZID-1304431195,1200.0,1
BZID-1304433921,550.0,1
BZID-1304438568,1200.0,1
BZID-1304471366,2100.0,1
BZID-1304475919,32500.0,1
BZID-1304466822,11050.0,2
BZID-1304436590,2700.0,1
BZID-1304457848,4500.0,1
BZID-1304448213,10500.0,1
BZID-1304479456,1200.0,1
BZID-1304477841,1200.0,1
BZID-1304470762,32500.0,1
BZID-1304472039,2700.0,1
BZID-1304437172,1200.0,1
BZID-1304476650,1200.0,1
BZID-1304474634,5000.0,1
BZID-1304443197,1200.0,1
BZID-1304474989,8000.0,1
BZID-1304434530,4000.0,2
BZID-1304457787,3800.0,1
BZID-1304452537,1200.0,1
BZID-1304478268,1300.0,1
BZID-1304466947,550.0,1
BZID-1304466774,2250.0,1
BZID-1304448572,3300.0,2
BZID-1304415340,5000.0,1
BZID-1304420400,1200.0,1
BZID-1304466387,7100.0,2
BZID-1304450181,550.0,1
BZID-1304475816,2100.0,1
BZID-1304471770,2100.0,1
BZID-1304471087,2700.0,1
BZID-1304446139,2000.0,1
BZID-1304456661,2100.0,1
BZID-1304467726,32500.0,1
BZID-1304401852,1200.0,1
BZID-1304469253,1200.0,1
BZID-1304467024,1200.0,1
BZID-1304419139,550.0,1
BZID-1304462124,1200.0,1
BZID-1304467916,6600.0,1
BZID-1304456898,1200.0,1
BZID-1304470387,2100.0,1
BZID-1304475728,1300.0,1
BZID-1304462714,1300.0,1
BZID-1304459088,2700.0,1
BZID-1304476338,2000.0,1
BZID-1304461247,1200.0,1
BZID-1304461529,1200.0,1
BZID-1304477674,1200.0,1
BZID-1304477356,10500.0,1
BZID-1304466884,8000.0,1
BZID-1304407921,1300.0,1
BZID-1304456357,1200.0,1
BZID-1304460056,2100.0,1
BZID-1304469237,1200.0,1
BZID-1304476979,5000.0,1
BZID-1304469966,1200.0,1
BZID-1304464451,4500.0,1
BZID-1304462661,2100.0,1
BZID-1304464471,2700.0,1
BZID-1304471391,7000.0,2
BZID-1304470351,1200.0,1
BZID-1304467579,4400.0,2
BZID-1304471179,1200.0,1
BZID-1304474504,3200.0,1
BZID-1304473778,13200.0,2
BZID-1304458347,1300.0,1
BZID-1304476455,550.0,1
BZID-1304465266,2100.0,1
BZID-1304441155,550.0,1
BZID-1304406880,550.0,1
BZID-1304477143,32500.0,1
BZID-1304456086,10500.0,1
BZID-1304471333,3500.0,1
BZID-1304462972,1200.0,1
BZID-1304471849,4500.0,1
BZID-1304471461,4500.0,1
BZID-1304449336,1200.0,1
BZID-1304411832,2700.0,1
BZID-1304433462,4500.0,1
BZID-1304432053,2700.0,1
BZID-1304467120,40000.0,1
BZID-1304409624,550.0,1
BZID-1304470022,7500.0,1
BZID-1304466707,550.0,1
BZID-1304463913,2700.0,1
BZID-1304477737,9450.0,4
BZID-1304475432,8000.0,1
BZID-1304476366,2100.0,1
BZID-1304458772,1200.0,1
BZID-1304474803,1200.0,1
BZID-1304465244,33500.0,1
BZID-1304448614,1200.0,1
BZID-1304448569,13550.0,3
BZID-1304477715,1200.0,1
BZID-1304476115,550.0,1
BZID-1304471041,4500.0,1
BZID-1304461331,550.0,1
BZID-1304419543,1300.0,1
BZID-1304467045,8500.0,1
BZID-1304458060,4500.0,1
BZID-1304456567,1200.0,1
BZID-1304479691,10500.0,1
BZID-1304477149,2100.0,1
BZID-1304479439,2100.0,1
BZID-1304470293,1200.0,1
BZID-1304479629,9000.0,1
BZID-1304416023,550.0,1
BZID-1304478943,1200.0,1
BZID-1304471154,9000.0,1
BZID-1304422748,1300.0,1
BZID-1304480250,16500.0,1
BZID-1304443260,2000.0,1
BZID-1304448832,1200.0,1
BZID-1304467539,10500.0,1
BZID-1304462341,550.0,1
BZID-1304422989,6600.0,1
BZID-1304479398,3800.0,1
BZID-1304446606,3200.0,1
BZID-1304460757,1200.0,1
BZID-1304456419,1300.0,1
BZID-1304468722,32500.0,1
BZID-1304436493,550.0,1
BZID-1304476497,3500.0,1
BZID-1304450475,2000.0,1
BZID-1304472695,1200.0,1
BZID-1304449146,1300.0,1
BZID-1304430151,550.0,1
BZID-1304475136,65000.0,1
BZID-1304477513,4500.0,1
BZID-1304460167,9000.0,1
BZID-1304471553,25500.0,2
BZID-1304477769,1200.0,1
BZID-1304467868,3500.0,1
BZID-1304462052,1300.0,1
BZID-1304464847,10500.0,1
BZID-1304431751,550.0,1
BZID-1304465667,8000.0,1
BZID-1304423702,1200.0,1
BZID-1304437991,7500.0,1
BZID-1304479470,16500.0,1
BZID-1304466114,2700.0,1
BZID-1304448504,3900.0,2
BZID-1304425174,1200.0,1
BZID-1304470818,18000.0,1
BZID-1304450278,2100.0,1
BZID-1304473471,42000.0,1
BZID-1304433951,2000.0,1
BZID-1304412842,550.0,1
BZID-1304476192,2100.0,1
BZID-1304479491,550.0,1
BZID-1304480009,1300.0,1
BZID-1304473633,1200.0,1
BZID-1304424006,5000.0,1
BZID-1304475733,2100.0,1
BZID-1304399262,1100.0,1
BZID-1304470741,33500.0,1
BZID-1304449637,1300.0,1
BZID-1304434410,2000.0,1
BZID-1304426022,1300.0,1
BZID-1304473752,2000.0,1
BZID-1304471255,2700.0,1
BZID-1304457780,550.0,1
BZID-1304451041,2700.0,1
BZID-1304434877,2000.0,1
BZID-1304417525,5000.0,1
BZID-1304479297,11000.0,1
BZID-1304456438,550.0,1
BZID-1304451094,4500.0,1
BZID-1304415056,1200.0,1
BZID-1304459528,2100.0,1
BZID-1304471902,2100.0,1
BZID-1304473038,1200.0,1
BZID-1304449601,1100.0,1
BZID-1304470355,9000.0,1
BZID-1304472170,550.0,1
BZID-1304477904,8000.0,1
BZID-1304466696,3500.0,1
BZID-1304477003,9000.0,1
BZID-1304428988,4250.0,2
BZID-1304419297,1200.0,1
BZID-1304475887,7700.0,2
BZID-1304468617,2250.0,1
BZID-1304472470,16000.0,1
BZID-1304431205,550.0,1
BZID-1304465162,9000.0,1
BZID-1304451432,3800.0,1
BZID-1304476374,2100.0,1
BZID-1304442993,1300.0,1
BZID-1304456706,3800.0,1
BZID-1304426109,1200.0,1
BZID-1304476755,4500.0,1
BZID-1304465395,3550.0,2
BZID-1304471435,10500.0,1
BZID-1304477499,3200.0,1
BZID-1304434278,2250.0,1
BZID-1304449674,1300.0,1
BZID-1304472304,2100.0,1
BZID-1304479852,2250.0,1
BZID-1304446947,1200.0,1
BZID-1304473758,1750.0,2
BZID-1304462885,1200.0,1
BZID-1304463074,550.0,1
BZID-1304470512,10500.0,1
BZID-1304450310,550.0,1
BZID-1304479426,3500.0,1
BZID-1304439163,1200.0,1
BZID-1304462202,2250.0,1
BZID-1304464304,1300.0,1
BZID-1304476326,3200.0,2
BZID-1304471353,3750.0,2
BZID-1304474526,1200.0,1
BZID-1304462007,1200.0,1
BZID-1304470409,1200.0,1
BZID-1304461744,1300.0,1
BZID-1304473271,2700.0,1
BZID-1304423019,2700.0,1
BZID-1304476903,1200.0,1
BZID-1304456609,2000.0,1
BZID-1304473482,1200.0,1
BZID-1304425799,1200.0,1
BZID-1304457139,5000.0,1
BZID-1304467484,3500.0,1
BZID-1304478927,10500.0,1
BZID-1304444449,2250.0,1
BZID-1304465725,2700.0,1
BZID-1304473045,3800.0,1
BZID-1304470453,5000.0,1
BZID-1304477608,1200.0,1
BZID-1304474994,40100.0,2
BZID-1304435767,550.0,1
BZID-1304428802,1200.0,1
BZID-1304477582,2700.0,1
BZID-1304467529,5000.0,1
BZID-1304456391,2000.0,1
BZID-1304463271,1200.0,1
BZID-1304465620,24000.0,1
BZID-1304459936,5700.0,2
BZID-1304461326,1300.0,1
BZID-1304470856,43000.0,2
BZID-1304466030,8500.0,2
BZID-1304475329,18000.0,1
BZID-1304443149,2700.0,1
BZID-1304426987,2700.0,1
BZID-1304474289,5000.0,1
BZID-1304471383,1200.0,1
BZID-1304465776,2100.0,1
BZID-1304452930,5900.0,2
BZID-1304426413,2100.0,1
BZID-1304435194,3300.0,2
BZID-1304469257,8000.0,1
BZID-1304474218,4500.0,1
BZID-1304477506,4500.0,1
BZID-1304448173,2100.0,1
BZID-1304476105,84000.0,1
BZID-1304426622,10500.0,1
BZID-1304424042,1300.0,1
BZID-1304479209,4500.0,1
BZID-1304467918,18000.0,1
BZID-1304465550,36200.0,2
BZID-1304456014,1200.0,1
BZID-1304424642,550.0,1
BZID-1304462029,2000.0,1
BZID-1304425398,550.0,1
BZID-1304436053,550.0,1
BZID-1304460392,16000.0,1
BZID-1304403897,1650.0,1
BZID-1304460928,2700.0,1
BZID-1304457407,1300.0,1
BZID-1304469580,3200.0,1
BZID-1304434752,4100.0,2
BZID-1304412678,550.0,1
BZID-1304460005,2100.0,1
BZID-1304464460,2000.0,1
BZID-1304465504,1300.0,1
BZID-1304426136,5000.0,1
BZID-1304463817,1200.0,1
BZID-1304471706,3800.0,1
BZID-1304472144,2100.0,1
BZID-1304475332,3200.0,1
BZID-1304442185,2250.0,1
BZID-1304462851,1200.0,1
BZID-1304469946,3500.0,1
BZID-1304475527,550.0,1
BZID-1304476881,1200.0,1
BZID-1304466913,1200.0,1
BZID-1304424640,550.0,1
BZID-1304478124,3200.0,1
BZID-1304471202,7500.0,1
BZID-1304479386,1200.0,1
BZID-1304430039,1200.0,1
BZID-1304467687,2000.0,1
BZID-1304478635,550.0,1
BZID-1304416529,550.0,1
BZID-1304465793,1200.0,1
BZID-1304438240,2000.0,1
BZID-1304458783,5300.0,2
BZID-1304472384,1200.0,1
BZID-1304474560,5400.0,1
