businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304417601,21,20,14
BZID-1304477273,54,40,30
BZID-1304362951,54,54,39
BZID-1304428681,56,51,39
BZID-1304388765,25,18,16
BZID-1304388981,39,39,7
BZID-1304478064,57,49,31
BZID-1304392183,12,11,6
BZID-1304388258,53,53,30
BZID-1304436232,55,52,16
BZID-1304437848,59,59,36
BZID-1304361961,28,24,15
BZID-1304371081,43,42,17
BZID-1304417580,51,43,37
BZID-1304428322,53,48,31
BZID-1304460624,15,14,0
BZID-1304465092,59,59,58
BZID-1304472855,57,56,54
BZID-1304381149,54,49,24
BZID-1304371937,36,36,5
BZID-1304414362,16,15,9
BZID-1304367318,58,55,37
BZID-1304402876,53,31,33
BZID-1304460392,50,44,34
BZID-1304426555,43,36,21
BZID-1304465973,20,15,11
BZID-1304460520,49,43,28
BZID-1304473487,59,58,37
BZID-1304361097,52,51,36
BZID-1304363509,19,17,6
BZID-1304462946,53,47,12
BZID-1304418142,47,35,21
BZID-1304386074,49,43,20
BZID-1304358285,52,46,38
BZID-1304401202,57,57,38
BZID-1304369625,50,46,26
BZID-1304470049,27,22,13
BZID-1304406331,51,51,28
BZID-1304427639,34,32,21
BZID-1304470123,54,54,52
BZID-1304358255,40,35,14
BZID-1304477066,22,21,15
BZID-1304474643,46,42,1
BZID-1304371740,26,22,10
BZID-1304460005,50,44,18
BZID-1304448056,53,47,31
BZID-1304450623,20,13,12
BZID-1304467467,52,44,25
BZID-1304457563,54,42,33
BZID-1304427656,18,12,3
BZID-1304459303,35,26,15
BZID-1304416113,40,31,21
BZID-1304392783,30,29,21
BZID-1304408954,58,56,46
BZID-1304450733,23,23,9
BZID-1304424108,50,47,15
BZID-1304416508,40,34,17
BZID-1304429066,17,9,8
BZID-1304433471,45,38,16
BZID-1304410620,53,53,30
BZID-1304402186,59,58,50
BZID-1304444669,55,43,21
BZID-1304478775,57,54,25
BZID-1304435257,58,56,42
BZID-1304433955,19,19,0
BZID-1304471944,45,45,0
BZID-1304467162,54,47,44
BZID-1304394549,38,37,17
BZID-1304480128,57,46,34
BZID-1304417582,57,54,45
BZID-1304430087,47,33,23
BZID-1304361076,10,8,3
BZID-1304473987,23,20,15
BZID-1304475486,59,58,54
BZID-1304469065,56,53,25
BZID-1304450948,24,13,8
BZID-1304396241,25,14,14
BZID-1304467179,57,52,49
BZID-1304443630,59,59,56
BZID-1304374199,6,6,4
BZID-1304356122,24,18,6
BZID-1304409437,33,32,22
BZID-1304402214,37,31,15
BZID-1304414783,58,58,52
BZID-1304459391,37,31,23
BZID-1304432169,58,58,48
BZID-1304466749,49,47,25
BZID-1304360385,10,9,2
BZID-1304381293,5,4,0
BZID-1304405729,14,8,5
BZID-1304399689,34,30,16
BZID-1304430346,23,22,11
BZID-1304460003,29,25,10
BZID-1304426734,47,39,36
BZID-1304412843,57,53,49
BZID-1304419715,39,30,12
BZID-1304475332,59,50,48
BZID-1304474305,58,56,28
BZID-1304418986,49,45,33
BZID-1304398567,56,52,46
BZID-1304367083,22,18,8
BZID-1304403140,2,1,0
BZID-1304473650,58,57,30
BZID-1304429816,37,32,11
BZID-1304459983,48,47,22
BZID-1304467675,59,58,53
BZID-1304358091,13,12,4
BZID-1304458634,53,28,23
BZID-1304397774,46,36,27
BZID-1304448621,28,27,20
BZID-1304429318,59,56,53
BZID-1304470782,47,42,33
BZID-1304424366,37,29,15
BZID-1304400045,17,15,8
BZID-1304475600,36,36,17
BZID-1304457203,51,48,39
BZID-1304422257,19,15,13
BZID-1304477655,53,52,42
BZID-1304397075,9,5,2
BZID-1304466816,46,37,28
BZID-1304386334,47,42,25
BZID-1304423699,40,34,19
BZID-1304358854,25,23,8
BZID-1304428306,13,10,1
BZID-1304457833,51,39,24
BZID-1304464941,43,34,23
BZID-1304394250,34,20,11
BZID-1304376085,47,43,25
BZID-1304417273,56,50,33
BZID-1304365626,49,48,29
BZID-1304396964,39,32,8
BZID-1304385723,40,32,10
BZID-1304415366,13,13,6
BZID-1304399159,53,45,24
BZID-1304449640,46,37,26
BZID-1304466046,32,21,15
BZID-1304389180,40,40,7
BZID-1304359539,34,34,8
BZID-1304412699,57,55,28
BZID-1304471113,34,27,17
BZID-1304372644,8,6,4
BZID-1304430709,26,18,15
BZID-1304404197,19,11,10
BZID-1304426087,55,50,40
BZID-1304418339,45,35,23
BZID-1304407249,53,51,31
BZID-1304417691,14,13,0
BZID-1304418028,8,3,5
BZID-1304466651,35,34,9
BZID-1304428629,33,19,9
BZID-1304475292,59,58,42
BZID-1304395737,49,47,29
BZID-1304372630,29,28,4
BZID-1304384565,40,37,15
BZID-1304466605,32,19,15
BZID-1304388149,16,16,3
BZID-1304388536,47,44,38
BZID-1304447039,33,30,14
BZID-1304472268,46,30,25
BZID-1304365369,13,6,0
BZID-1304359709,36,31,20
BZID-1304461107,39,35,6
BZID-1304476927,23,21,1
BZID-1304429955,40,30,20
BZID-1304427203,16,12,6
BZID-1304365451,0,1,1
BZID-1304363488,9,9,2
BZID-1304379897,33,31,15
BZID-1304429911,51,50,12
BZID-1304385577,3,2,2
BZID-1304464989,58,51,25
BZID-1304460340,15,8,1
BZID-1304359614,21,19,9
BZID-1304460117,5,5,2
BZID-1304379963,32,31,2
BZID-1304469312,44,36,8
BZID-1304383262,16,14,6
BZID-1304410605,20,10,5
BZID-1304457286,17,10,8
BZID-1304431733,24,13,7
BZID-1304456579,7,4,1
BZID-1304450587,5,5,2
BZID-1304365472,46,42,33
BZID-1304418564,13,6,6
BZID-1304457405,57,53,35
BZID-1304374794,1,1,0
BZID-1304399298,43,21,18
BZID-1304387898,55,52,40
BZID-1304467775,50,38,26
BZID-1304460215,17,14,11
BZID-1304385169,16,14,6
BZID-1304401163,26,24,16
BZID-1304365154,27,24,15
BZID-1304479712,55,50,42
BZID-1304467682,52,48,42
BZID-1304476664,55,53,38
BZID-1304367748,46,41,32
BZID-1304416478,8,3,3
BZID-1304365071,9,5,2
BZID-1304435256,10,9,7
BZID-1304411527,9,4,3
BZID-1304373241,15,12,3
BZID-1304360834,53,51,32
BZID-1304478937,43,38,27
BZID-1304455014,55,53,46
BZID-1304362506,10,6,3
BZID-1304357685,53,53,32
BZID-1304365257,34,34,4
BZID-1304364841,49,47,36
BZID-1304363079,52,51,39
BZID-1304360487,20,20,9
BZID-1304403422,49,47,6
BZID-1304460803,24,23,8
BZID-1304360526,14,13,4
BZID-1304382660,28,27,11
BZID-1304377592,39,33,27
BZID-1304462904,52,48,4
BZID-1304367523,8,6,1
BZID-1304361341,6,3,0
BZID-1304425427,19,11,4
BZID-1304428333,53,52,38
BZID-1304460128,54,34,21
BZID-1304398129,16,13,8
BZID-1304368447,29,28,11
BZID-1304448578,22,13,7
BZID-1304386715,13,10,7
BZID-1304363843,32,29,8
BZID-1304420818,47,27,23
BZID-1304413549,45,33,19
BZID-1304464804,41,29,19
BZID-1304473333,24,22,12
BZID-1304471882,44,33,0
BZID-1304476834,25,25,2
BZID-1304375437,26,26,0
BZID-1304479332,32,19,13
BZID-1304394739,8,8,2
BZID-1304364356,12,8,3
BZID-1304417652,58,58,25
BZID-1304463421,14,11,4
BZID-1304431680,35,22,10
BZID-1304369784,33,31,13
BZID-1304438887,18,14,9
BZID-1304381039,15,11,5
BZID-1304376340,54,40,34
BZID-1304441630,19,11,1
