businessid,calls
BZID-1304392036,2
BZID-1304462357,1
BZID-1304447081,5
BZID-1304464984,3
BZID-1304438355,2
BZID-1304434420,1
BZID-1304420025,1
BZID-1304360846,2
BZID-1304465929,4
BZID-1304476838,1
BZID-1304435363,3
BZID-1304384282,2
BZID-1304370939,4
BZID-1304359123,2
BZID-1304445872,1
BZID-1304431293,4
BZID-1304475518,2
BZID-1304349776,1
BZID-1304358791,2
BZID-1304369286,2
BZID-1304421971,3
BZID-1304359360,4
BZID-1304377202,2
BZID-1304383898,3
BZID-1304349743,2
BZID-1304398679,3
BZID-1304373290,2
BZID-1304445361,1
BZID-1304401206,2
BZID-1304389613,1
BZID-1304416603,1
BZID-1304475384,3
BZID-1304367424,3
BZID-1304397329,3
BZID-1304447310,2
BZID-1304460431,1
BZID-1304389765,5
BZID-1304424752,5
BZID-1304362654,2
BZID-1304474598,1
BZID-1304416761,2
BZID-1304365891,3
BZID-1304406223,1
BZID-1304380281,5
BZID-1304434946,2
BZID-1304394070,1
BZID-1304427440,1
BZID-1304460926,5
BZID-1304354056,1
BZID-1304449539,1
BZID-1304466322,1
BZID-1304469727,1
BZID-1304423662,4
BZID-1304353814,2
BZID-1304349189,3
BZID-1304433722,2
BZID-1304408330,5
BZID-1304388313,4
BZID-1304416918,3
BZID-1304380699,1
BZID-1304418480,1
BZID-1304450449,2
BZID-1304399497,1
BZID-1304381055,5
BZID-1304390734,4
BZID-1304386171,2
BZID-1304415212,1
BZID-1304350747,1
BZID-1304419963,3
BZID-1304476973,1
BZID-1304367262,2
BZID-1304423025,1
BZID-1304478641,4
BZID-1304375548,2
BZID-1304405288,3
BZID-1304476592,2
BZID-1304449926,3
BZID-1304382748,2
BZID-1304435450,15
BZID-1304350473,2
BZID-1304472395,1
BZID-1304421671,3
BZID-1304470532,3
BZID-1304438612,13
BZID-1304606402,1
BZID-1304383768,2
BZID-1304455379,4
BZID-1304437774,3
BZID-1304478434,3
BZID-1304394013,6
BZID-1304418706,1
BZID-1304449505,1
BZID-1304365865,2
BZID-1304403488,4
BZID-1304352536,1
BZID-1304362383,4
BZID-1304424330,2
BZID-1304368424,2
BZID-1304406776,2
BZID-1304388010,1
BZID-1304441053,1
BZID-1304370758,1
BZID-1304461443,1
BZID-1304390353,4
BZID-1304430632,3
BZID-1304385010,3
BZID-1304436339,2
BZID-1304431870,1
BZID-1304394008,1
BZID-1304475464,1
BZID-1304473944,1
BZID-1304464851,3
BZID-1304405546,1
BZID-1304394645,4
BZID-1304407790,1
BZID-1304402122,1
BZID-1304421015,3
BZID-1304414936,1
BZID-1304398146,2
BZID-1304384273,2
BZID-1304376103,3
BZID-1304366483,1
BZID-1304435628,3
BZID-1304419208,4
BZID-1304386918,2
BZID-1304461430,1
BZID-1304462017,4
BZID-1304438155,5
BZID-1304392047,3
BZID-1304478033,1
BZID-1304385985,1
BZID-1304379221,5
BZID-1304610114,1
BZID-1304400023,3
BZID-1304429035,5
BZID-1304426245,3
BZID-1304476283,7
BZID-1304395699,5
BZID-1304433588,1
BZID-1304478617,2
BZID-1304371632,4
BZID-1304394743,3
BZID-1304368829,1
BZID-1304352899,1
BZID-1304401045,2
BZID-1304386487,2
BZID-1304459957,2
BZID-1304449354,3
BZID-1304409477,1
BZID-1304397237,2
BZID-1304409436,2
BZID-1304367170,1
BZID-1304414514,2
BZID-1304382141,3
BZID-1304435932,2
BZID-1304411887,2
BZID-1304436114,1
BZID-1304431990,1
BZID-1304446264,1
BZID-1304477299,7
BZID-1304443822,4
BZID-1304412557,1
BZID-1304394827,4
BZID-1304448351,1
BZID-1304359701,3
BZID-1304386701,3
BZID-1304414318,7
BZID-1304377091,3
BZID-1304441411,2
BZID-1304423508,1
BZID-1304466069,2
BZID-1304351374,2
BZID-1304378868,6
BZID-1304432813,2
BZID-1304423653,2
BZID-1304361269,2
BZID-1304367058,3
BZID-1304447959,6
BZID-1304386623,6
BZID-1304357958,2
BZID-1304365890,4
BZID-1304354076,2
BZID-1304380235,2
BZID-1304462774,6
BZID-1304398766,4
BZID-1304407382,2
BZID-1304379423,2
BZID-1304471826,1
BZID-1304360467,1
BZID-1304461171,1
BZID-1304461491,7
BZID-1304419859,2
BZID-1304411805,1
BZID-1304421434,2
BZID-1304457051,1
BZID-1304422371,2
BZID-1304361166,3
BZID-1304367463,2
BZID-1304361548,3
BZID-1304427419,2
BZID-1304359468,2
BZID-1304470247,1
BZID-1304429220,2
BZID-1304389066,3
BZID-1304466710,5
BZID-1304479008,3
BZID-1304475117,2
BZID-1304421978,4
BZID-1304429017,1
BZID-1304391247,2
BZID-1304432413,2
BZID-1304472437,2
BZID-1304478410,1
BZID-1304379752,3
BZID-1304361195,1
BZID-1304446734,1
BZID-1304467366,1
BZID-1304447599,1
BZID-1304389300,3
BZID-1304422956,6
BZID-1304427232,1
