businessid,null_search_cnt
BZID-1304350795,3
BZID-1304350797,1
BZID-1304350798,1
BZID-1304350802,12
BZID-1304350804,1
BZID-1304350810,35
BZID-1304350812,17
BZID-1304350813,9
BZID-1304350823,4
BZID-1304350824,1
BZID-1304350825,2
BZID-1304350829,10
BZID-1304350830,1
BZID-1304350832,2
BZID-1304350839,1
BZID-1304350841,4
BZID-1304350843,2
BZID-1304350847,2
BZID-1304350848,30
BZID-1304350849,1
BZID-1304350855,1
BZID-1304350859,4
BZID-1304350867,4
BZID-1304350868,3
BZID-1304350871,1
BZID-1304350874,1
BZID-1304350875,2
BZID-1304350876,8
BZID-1304350880,1
BZID-1304350884,1
BZID-1304350888,3
BZID-1304350889,3
BZID-1304350891,1
BZID-1304350893,2
BZID-1304350897,3
BZID-1304350900,2
BZID-1304350901,1
BZID-1304350905,3
BZID-1304350907,1
BZID-1304350908,8
BZID-1304350911,2
BZID-1304350916,2
BZID-1304350919,8
BZID-1304350922,13
BZID-1304350923,2
BZID-1304350928,2
BZID-1304350929,6
BZID-1304350930,5
BZID-1304350933,1
BZID-1304350937,6
BZID-1304350940,1
BZID-1304350941,2
BZID-1304350946,2
BZID-1304350947,5
BZID-1304350948,1
BZID-1304350951,1
BZID-1304350952,1
BZID-1304350953,1
BZID-1304350960,1
BZID-1304350965,6
BZID-1304350966,20
BZID-1304350967,6
BZID-1304350968,36
BZID-1304350970,2
BZID-1304350974,6
BZID-1304350975,1
BZID-1304350978,1
BZID-1304350980,3
BZID-1304350983,3
BZID-1304350993,26
BZID-1304350994,10
BZID-1304351003,12
BZID-1304351006,3
BZID-1304351007,5
BZID-1304351016,6
BZID-1304351018,7
BZID-1304351020,12
BZID-1304351023,1
BZID-1304351044,1
BZID-1304351045,3
BZID-1304351049,3
BZID-1304351051,3
BZID-1304351053,1
BZID-1304351055,8
BZID-1304351056,3
BZID-1304351058,1
BZID-1304351060,2
BZID-1304351061,1
BZID-1304351064,4
BZID-1304351072,1
BZID-1304351074,2
BZID-1304351077,10
BZID-1304351093,1
BZID-1304351105,11
BZID-1304351108,7
BZID-1304351109,1
