businessid,rating_cnt,avg_rating
BZID-1304392415,90,3
BZID-1304368872,5,3
BZID-1304371447,5,5
BZID-1304372614,14,4
BZID-1304361223,16,3
BZID-1304351120,2,5
BZID-1304606751,4,5
BZID-1304361994,3,5
BZID-1304423851,1,4
BZID-1304428795,27,5
BZID-1304474948,1,5
BZID-1304477123,297,5
BZID-1304415939,4,3
BZID-1304425055,7,3
BZID-1304408149,110,5
BZID-1304424319,11,4
BZID-1304419087,3,4
BZID-1304441114,6,5
BZID-1304448040,8,5
BZID-1304424206,2,3
BZID-1304417500,6,5
BZID-1304466687,24,5
BZID-1304426072,3,5
BZID-1304408012,2,5
BZID-1304438710,77,5
BZID-1304451305,37,5
BZID-1304445698,16,5
BZID-1304406512,5,5
BZID-1304391427,7,4
BZID-1304402280,9,5
BZID-1304399099,230,3
BZID-1304405670,4,4
BZID-1304397462,5,4
BZID-1304383842,7,3
BZID-1304382443,1,1
BZID-1304377042,5,3
BZID-1304387443,43,3
BZID-1304369187,3,1
BZID-1304358610,9,4
BZID-1304358005,4,5
BZID-1304396680,16,4
BZID-1304607604,1,5
BZID-1304475568,1,5
BZID-1304372281,1,5
BZID-1304474689,12,5
BZID-1304414200,3,4
BZID-1304477768,47,4
BZID-1304429077,24,5
BZID-1304450645,6,3
BZID-1304441061,7,4
BZID-1304440814,47,5
BZID-1304402074,3,5
BZID-1304452937,1,5
BZID-1304475914,63,3
BZID-1304441618,1,5
BZID-1304422655,5,3
BZID-1304422382,11,4
BZID-1304425572,6,4
BZID-1304424671,1,5
BZID-1304438888,2,5
BZID-1304465401,10,3
BZID-1304478566,42,5
BZID-1304469179,8,5
BZID-1304398060,1,5
BZID-1304396588,6,3
BZID-1304385921,3,1
BZID-1304435930,1,5
BZID-1304374889,1,5
BZID-1304376672,1,5
BZID-1304367315,7,5
BZID-1304369761,51,4
BZID-1304372436,65,3
BZID-1304360865,1,5
BZID-1304363003,1,5
BZID-1304349406,45,3
BZID-1304357066,5,3
BZID-1304610099,1,5
BZID-1304456165,8,4
BZID-1304428843,28,4
BZID-1304436441,1,4
BZID-1304409330,3,3
BZID-1304474172,36,4
BZID-1304466937,1,5
BZID-1304434339,4,5
BZID-1304463476,1,5
BZID-1304437234,2,3
BZID-1304425432,1,5
BZID-1304476099,1,5
BZID-1304455710,16,4
BZID-1304444324,1,1
BZID-1304423740,11,5
BZID-1304460521,7,5
BZID-1304427546,25,4
BZID-1304391298,10,3
BZID-1304383966,1,1
BZID-1304384236,1,5
BZID-1304375363,3,4
BZID-1304376753,2,5
BZID-1304367363,2,3
BZID-1304368007,3,3
BZID-1304374320,10,5
BZID-1304366836,13,4
BZID-1304361451,16,3
BZID-1304362774,8,5
BZID-1304352509,25,3
BZID-1304352939,1,5
BZID-1304351587,3,3
BZID-1304351931,12,5
BZID-1304610120,8,3
BZID-1304349695,37,3
BZID-1304421902,16,5
BZID-1304458139,4,3
BZID-1304425039,13,4
BZID-1304470505,1,5
BZID-1304469030,1,5
BZID-1304411704,1,5
BZID-1304411685,11,5
BZID-1304408646,35,4
BZID-1304433791,65,3
BZID-1304432904,1,5
BZID-1304427621,2,3
BZID-1304466539,1,5
BZID-1304390686,1,4
BZID-1304392581,15,5
BZID-1304398302,2,5
BZID-1304396827,21,3
BZID-1304375002,9,3
BZID-1304399156,1,5
BZID-1304370335,6,5
BZID-1304372047,2,1
BZID-1304405965,6,5
BZID-1304359809,9,3
BZID-1304358733,72,3
BZID-1304349571,5,4
BZID-1304354608,3,5
BZID-1304353904,7,3
BZID-1304606659,2,5
BZID-1304400864,22,4
BZID-1304605993,2,5
BZID-1304607743,1,1
BZID-1304370821,33,5
BZID-1304412790,43,4
BZID-1304477966,18,5
BZID-1304424586,6,5
BZID-1304473282,2,4
BZID-1304464628,4,5
BZID-1304410475,18,5
BZID-1304407269,1,5
BZID-1304418705,58,3
BZID-1304407134,1,5
BZID-1304428458,3,4
BZID-1304479461,90,4
BZID-1304466933,8,5
BZID-1304407330,4,2
BZID-1304424501,29,5
BZID-1304479520,2,5
BZID-1304436844,4,1
BZID-1304425890,9,5
BZID-1304413765,1,5
BZID-1304466591,1,5
BZID-1304427083,1,5
BZID-1304392582,1,5
BZID-1304396202,1,5
BZID-1304396303,173,5
BZID-1304377809,1,5
BZID-1304380141,15,3
BZID-1304365951,13,5
BZID-1304363067,67,3
BZID-1304362244,1,5
BZID-1304363809,94,3
BZID-1304350859,67,3
BZID-1304353289,1,4
BZID-1304436469,4,5
BZID-1304603376,3,5
BZID-1304399729,3,2
BZID-1304371797,5,5
BZID-1304608523,16,3
BZID-1304354427,4,4
BZID-1304467095,53,5
BZID-1304421467,18,3
BZID-1304423763,2,5
BZID-1304474002,2,1
BZID-1304425283,50,5
