businessid,prev_max_order_dt,prev_total_orders,prev_distinct_order_dates
BZID-1304426374,,0,0
BZID-1304426379,2021-12-18,23,22
BZID-1304426410,2021-11-25,14,12
BZID-1304426432,2021-08-01,121,18
BZID-1304426439,,0,0
BZID-1304426522,2021-12-18,27,21
BZID-1304426534,2021-12-18,175,136
BZID-1304426549,2021-12-15,166,90
BZID-1304426568,2021-10-23,7,3
BZID-1304426589,2021-12-18,17,15
BZID-1304426637,2021-10-22,57,46
BZID-1304426649,2021-04-06,5,1
BZID-1304426661,2021-12-09,56,37
BZID-1304426704,2021-04-05,1,1
BZID-1304426732,2021-12-17,951,200
BZID-1304426752,2021-12-14,165,107
BZID-1304426755,,0,0
BZID-1304426786,2021-12-13,100,33
BZID-1304426797,2021-12-18,16,13
BZID-1304426818,2021-12-18,283,153
BZID-1304426842,2021-05-05,1,1
BZID-1304426887,2021-12-16,206,110
BZID-1304426939,2021-04-03,1,1
BZID-1304426977,2021-11-15,129,55
BZID-1304426982,2021-11-27,7,6
BZID-1304426986,2021-12-14,23,19
BZID-1304427000,2021-04-03,1,1
BZID-1304427045,2021-12-06,20,17
BZID-1304427069,,0,0
BZID-1304427140,2021-05-19,1,1
BZID-1304427142,2021-12-18,22,20
BZID-1304427149,,0,0
BZID-1304427191,2021-08-03,7,6
BZID-1304427249,2021-08-01,1,1
BZID-1304427255,2021-12-17,64,58
BZID-1304427286,,0,0
BZID-1304427289,,0,0
BZID-1304427294,2021-11-26,11,9
BZID-1304427303,2021-11-18,201,71
BZID-1304427310,,0,0
BZID-1304427321,2021-12-14,45,41
BZID-1304427340,2021-12-17,41,32
BZID-1304427355,2021-12-16,9,8
BZID-1304427358,,0,0
BZID-1304427360,2021-12-17,342,62
BZID-1304427417,2021-05-15,1,1
BZID-1304427438,,0,0
BZID-1304427453,2021-12-17,70,60
BZID-1304427456,,0,0
BZID-1304427491,2021-12-16,59,51
BZID-1304427492,2021-09-04,9,9
BZID-1304427496,2021-07-10,17,14
BZID-1304427528,2021-09-21,3,3
BZID-1304427550,,0,0
BZID-1304427606,2021-11-20,11,8
BZID-1304427628,2021-08-11,58,44
BZID-1304427645,,0,0
BZID-1304427674,,0,0
BZID-1304427683,,0,0
BZID-1304427771,2021-06-09,4,4
BZID-1304427850,,0,0
BZID-1304427875,2021-12-12,15,12
BZID-1304428108,2021-11-30,100,48
BZID-1304428110,2021-08-19,1,1
BZID-1304428174,2021-12-10,2,1
BZID-1304428235,2021-12-18,65,51
BZID-1304428278,2021-12-18,202,131
BZID-1304428297,2021-04-22,1,1
BZID-1304428317,2021-12-02,5,2
BZID-1304428319,2021-10-10,21,18
BZID-1304428332,,0,0
BZID-1304428413,2021-04-22,1,1
BZID-1304428435,,0,0
BZID-1304428442,2021-12-12,26,22
BZID-1304428457,,0,0
BZID-1304428467,,0,0
BZID-1304428471,,0,0
BZID-1304428523,,0,0
BZID-1304428532,2021-12-18,534,124
BZID-1304428614,2021-09-21,7,7
BZID-1304428668,2021-12-16,112,86
BZID-1304428670,,0,0
BZID-1304428675,,0,0
BZID-1304428698,2021-12-10,3,3
BZID-1304428710,2021-12-14,22,20
BZID-1304428723,2021-12-17,93,59
BZID-1304428790,2021-12-07,59,45
BZID-1304428800,,0,0
BZID-1304428806,2021-07-31,42,19
BZID-1304428807,2021-12-17,132,94
BZID-1304428820,2021-08-29,176,80
BZID-1304428871,,0,0
BZID-1304428907,2021-12-18,1207,192
BZID-1304428913,2021-12-18,134,85
BZID-1304428915,2021-05-18,1,1
BZID-1304428944,2021-07-07,1,1
BZID-1304429008,2021-12-16,42,32
BZID-1304429051,2021-12-14,41,33
BZID-1304429059,2021-08-31,36,26
BZID-1304429063,,0,0
BZID-1304429084,,0,0
BZID-1304429105,2021-06-14,3,2
BZID-1304429107,,0,0
BZID-1304429147,2021-10-26,2,2
BZID-1304429151,,0,0
BZID-1304429161,2021-10-11,4,4
BZID-1304429195,2021-12-01,25,9
BZID-1304429240,,0,0
BZID-1304429246,2021-09-28,1,1
BZID-1304429248,2021-12-12,55,44
BZID-1304429283,2021-10-05,4,4
BZID-1304429285,2021-08-01,5,3
BZID-1304429324,2021-12-18,44,38
BZID-1304429365,2021-09-17,3,2
BZID-1304429388,,0,0
BZID-1304429389,,0,0
BZID-1304429439,2021-07-07,2,2
BZID-1304429483,,0,0
BZID-1304429499,2021-12-18,307,79
BZID-1304429538,,0,0
BZID-1304429542,,0,0
BZID-1304429551,,0,0
BZID-1304429578,2021-12-15,10,10
BZID-1304429594,2021-07-12,11,11
BZID-1304429595,,0,0
BZID-1304429603,2021-09-22,2,2
BZID-1304429635,2021-07-22,4,4
BZID-1304429636,2021-11-27,17,15
BZID-1304429654,2021-12-14,3,3
BZID-1304429673,2021-11-10,12,10
BZID-1304429674,,0,0
BZID-1304429680,2021-09-14,5,5
BZID-1304429710,,0,0
BZID-1304429732,2021-10-13,10,4
BZID-1304429738,2021-12-12,4,4
BZID-1304429750,2021-10-12,2,2
BZID-1304429767,2021-12-15,56,39
BZID-1304429799,2021-12-17,83,50
BZID-1304429805,2021-11-25,1,1
BZID-1304429859,2021-08-06,2,2
BZID-1304429910,,0,0
BZID-1304429956,,0,0
BZID-1304430000,2021-06-14,1,1
BZID-1304430013,2021-11-27,1,1
BZID-1304430020,2021-12-13,109,58
BZID-1304430082,2021-12-18,42,31
BZID-1304430114,,0,0
BZID-1304430121,2021-12-18,142,107
BZID-1304430152,2021-12-14,150,41
BZID-1304430184,2021-11-25,32,25
BZID-1304430243,2021-12-14,23,17
BZID-1304430269,2021-10-22,14,5
BZID-1304430275,2021-12-18,472,151
BZID-1304430325,,0,0
BZID-1304430386,2021-12-17,41,37
BZID-1304430397,2021-12-17,98,58
BZID-1304430405,2021-12-16,21,16
BZID-1304430434,2021-12-18,1,1
BZID-1304430441,,0,0
BZID-1304430457,2021-11-29,33,21
BZID-1304430461,2021-12-13,20,18
BZID-1304430468,2021-12-18,391,146
BZID-1304430493,2021-12-12,33,27
BZID-1304430518,2021-06-19,7,7
BZID-1304430546,2021-09-02,19,16
BZID-1304430559,2021-08-02,3,3
BZID-1304430591,,0,0
BZID-1304430643,,0,0
BZID-1304430686,2021-10-26,9,8
BZID-1304430728,2021-10-02,3,3
BZID-1304430734,,0,0
BZID-1304430745,2021-11-03,8,3
BZID-1304430746,,0,0
BZID-1304430755,2021-10-14,4,3
BZID-1304430788,,0,0
BZID-1304430861,,0,0
BZID-1304430877,2021-09-08,15,14
BZID-1304430979,,0,0
BZID-1304431059,2021-11-08,3,3
BZID-1304431105,2021-12-18,95,33
BZID-1304431184,,0,0
BZID-1304431202,2021-07-05,51,34
BZID-1304431203,2021-12-05,78,46
BZID-1304431208,2021-12-07,25,16
BZID-1304431264,2021-12-17,198,133
BZID-1304431280,2021-12-18,614,234
BZID-1304431289,2021-11-11,204,150
BZID-1304431344,,0,0
BZID-1304431351,2021-01-17,3,2
BZID-1304431403,,0,0
BZID-1304431409,2021-07-26,17,16
BZID-1304431496,2021-12-16,302,96
BZID-1304431566,2021-12-18,161,105
BZID-1304431614,2021-12-16,59,42
BZID-1304431640,2020-12-23,1,1
BZID-1304431696,,0,0
BZID-1304431703,,0,0
BZID-1304431714,,0,0
BZID-1304431743,2020-11-30,1,1
BZID-1304431781,2021-12-17,188,127
BZID-1304431825,2021-08-10,386,146
BZID-1304431954,2021-12-17,26,21
BZID-1304432013,2021-12-16,146,105
BZID-1304432046,2021-12-17,397,224
BZID-1304432059,2021-03-11,3,2
BZID-1304432064,,0,0
BZID-1304432067,,0,0
BZID-1304432087,2021-11-30,97,46
BZID-1304432112,,0,0
BZID-1304432128,,0,0
BZID-1304432153,,0,0
BZID-1304432189,2021-12-18,299,127
BZID-1304432192,,0,0
BZID-1304432205,2020-11-11,10,8
BZID-1304432250,2021-12-18,897,322
BZID-1304432288,2021-12-17,129,115
BZID-1304432313,2020-11-11,3,3
BZID-1304432329,2021-01-11,11,8
BZID-1304432330,2020-12-22,3,3
BZID-1304432337,2020-12-01,2,2
BZID-1304432403,,0,0
BZID-1304432405,,0,0
BZID-1304432417,,0,0
BZID-1304432479,2020-11-19,12,5
BZID-1304432530,2021-12-18,106,96
BZID-1304432563,2021-11-23,70,52
BZID-1304432668,2021-12-18,28,24
BZID-1304432698,2020-12-09,1,1
BZID-1304432761,,0,0
BZID-1304432783,,0,0
BZID-1304432808,2020-11-13,18,1
BZID-1304432824,2020-12-05,3,3
BZID-1304432876,2020-11-12,1,1
BZID-1304432933,,0,0
BZID-1304432946,,0,0
BZID-1304432956,,0,0
BZID-1304432970,,0,0
BZID-1304432987,2021-12-13,78,52
BZID-1304432993,2021-12-18,401,173
BZID-1304432997,,0,0
BZID-1304433026,2020-12-29,1,1
BZID-1304433030,2021-05-25,81,41
BZID-1304433093,2020-11-06,1,1
BZID-1304433115,2021-12-01,8,7
BZID-1304433151,2020-11-07,2,1
BZID-1304433194,2021-12-15,60,45
BZID-1304433196,2021-12-18,35,32
BZID-1304433202,,0,0
BZID-1304433245,2020-12-30,2,2
BZID-1304433270,,0,0
BZID-1304433279,2021-03-25,43,23
BZID-1304433408,,0,0
BZID-1304433456,2021-02-03,2,2
BZID-1304433499,,0,0
BZID-1304433508,2021-03-01,85,36
BZID-1304433540,2021-12-15,11,9
BZID-1304433554,2021-12-10,86,68
BZID-1304433602,,0,0
BZID-1304433629,2021-12-14,375,162
BZID-1304433645,2021-12-17,21,19
BZID-1304433654,,0,0
BZID-1304433658,,0,0
BZID-1304433668,,0,0
BZID-1304433676,,0,0
BZID-1304433682,2021-12-14,56,50
BZID-1304433686,2021-03-08,5,5
BZID-1304433701,2021-03-01,24,21
BZID-1304433708,,0,0
BZID-1304433748,,0,0
BZID-1304433846,2021-12-18,168,92
BZID-1304433891,2021-09-26,83,50
BZID-1304433912,2021-12-10,226,115
BZID-1304433931,,0,0
BZID-1304433964,2021-03-23,8,8
BZID-1304433965,2021-01-26,3,3
BZID-1304433975,2021-12-06,82,33
BZID-1304434117,,0,0
BZID-1304434140,,0,0
BZID-1304434145,2021-08-14,9,7
BZID-1304434147,2021-12-17,657,125
BZID-1304434173,,0,0
BZID-1304434220,2020-12-14,2,2
BZID-1304434243,2021-03-09,2,2
BZID-1304434259,2021-01-06,3,3
BZID-1304434294,,0,0
BZID-1304434330,,0,0
BZID-1304434344,2021-06-16,7,7
BZID-1304434350,2021-01-24,1,1
BZID-1304434378,,0,0
BZID-1304434406,2021-03-12,10,9
BZID-1304434418,2021-12-04,81,43
BZID-1304434445,2021-12-14,331,154
BZID-1304434448,2020-12-17,2,2
BZID-1304434467,2021-05-07,4,2
BZID-1304434519,2021-07-16,9,9
BZID-1304434546,2021-01-22,4,4
BZID-1304434623,,0,0
BZID-1304434640,,0,0
BZID-1304434643,2021-07-21,7,2
BZID-1304434721,,0,0
BZID-1304434786,,0,0
BZID-1304434787,,0,0
BZID-1304434788,,0,0
BZID-1304434800,,0,0
BZID-1304434810,,0,0
BZID-1304434921,2021-02-05,2,2
BZID-1304434922,2020-12-18,1,1
BZID-1304434927,2021-12-12,10,9
BZID-1304434931,2021-09-15,90,53
BZID-1304434959,2021-12-18,166,74
BZID-1304434970,2021-12-18,66,35
BZID-1304434984,2021-12-08,178,44
BZID-1304434992,2021-12-17,40,34
BZID-1304435016,,0,0
BZID-1304435061,2021-05-11,2,1
BZID-1304435066,,0,0
BZID-1304435091,,0,0
BZID-1304435094,2021-03-09,5,5
BZID-1304435114,,0,0
BZID-1304435117,,0,0
BZID-1304435130,2021-01-20,2,2
BZID-1304435217,2021-12-13,44,33
BZID-1304435242,2021-12-07,5,5
BZID-1304435272,2021-08-08,8,6
BZID-1304435289,2021-12-15,27,19
BZID-1304435306,2021-08-17,16,14
BZID-1304435359,2021-12-15,159,116
BZID-1304435377,2021-12-15,168,43
BZID-1304435403,,0,0
BZID-1304435406,2021-10-07,1,1
BZID-1304435411,2021-12-15,50,36
BZID-1304435415,2021-12-16,213,103
BZID-1304435420,2021-11-11,5,5
BZID-1304435443,2021-10-21,12,10
BZID-1304435449,2021-12-17,43,39
BZID-1304435534,2021-12-08,31,29
BZID-1304435550,2021-12-18,373,188
BZID-1304435554,,0,0
BZID-1304435555,,0,0
BZID-1304435556,2021-09-21,4,1
BZID-1304435579,2021-10-25,9,8
BZID-1304435604,2021-09-15,6,5
BZID-1304435648,2021-12-18,168,95
BZID-1304435736,2021-12-13,31,19
BZID-1304435747,2021-02-05,2,2
BZID-1304435765,2021-04-17,8,8
BZID-1304435805,2021-02-05,2,2
BZID-1304435825,2021-05-31,26,12
BZID-1304435849,2021-03-10,5,5
BZID-1304435904,,0,0
BZID-1304435931,,0,0
BZID-1304435984,2021-11-13,4,4
BZID-1304436071,,0,0
BZID-1304436112,2021-11-09,22,20
BZID-1304436149,,0,0
BZID-1304436154,2021-12-06,69,46
BZID-1304436168,2021-02-25,6,5
BZID-1304436209,2021-10-29,6,6
BZID-1304436228,2021-12-07,387,154
BZID-1304436237,,0,0
BZID-1304436295,2021-12-18,551,226
BZID-1304436299,2021-12-16,236,122
BZID-1304436377,,0,0
BZID-1304436403,2021-01-09,1,1
BZID-1304436415,2021-12-06,12,11
BZID-1304436435,2021-12-17,47,20
BZID-1304436504,2021-03-31,157,51
BZID-1304436535,2021-02-24,1,1
BZID-1304436550,2021-01-05,1,1
BZID-1304436553,2021-02-26,3,3
BZID-1304436638,,0,0
BZID-1304436641,2021-03-18,2,2
BZID-1304436644,2021-11-28,25,13
BZID-1304436678,2021-10-01,51,42
BZID-1304436709,2021-12-18,382,202
BZID-1304436738,,0,0
BZID-1304436750,2021-12-16,151,99
BZID-1304436767,,0,0
BZID-1304436924,2021-04-13,25,11
BZID-1304436948,2021-06-27,77,48
BZID-1304436960,2021-12-13,117,65
BZID-1304436967,,0,0
BZID-1304437053,2021-12-15,20,19
BZID-1304437060,,0,0
BZID-1304437071,2021-08-12,13,13
BZID-1304437077,2021-12-18,60,54
BZID-1304437096,2021-01-20,6,5
BZID-1304437103,,0,0
BZID-1304437130,2021-01-11,1,1
BZID-1304437171,2021-12-17,92,71
BZID-1304437179,2021-01-19,3,2
BZID-1304437191,2021-03-08,4,4
BZID-1304437297,,0,0
BZID-1304437307,2021-04-08,4,4
BZID-1304437316,,0,0
BZID-1304437341,,0,0
BZID-1304437391,,0,0
BZID-1304437416,2021-03-02,2,2
BZID-1304437451,,0,0
BZID-1304437461,2021-02-18,1,1
BZID-1304437467,2021-02-25,2,2
BZID-1304437562,2021-05-12,1,1
BZID-1304437568,2021-12-10,34,32
BZID-1304437571,2021-03-08,1,1
BZID-1304437629,,0,0
BZID-1304437634,,0,0
BZID-1304437662,,0,0
BZID-1304437669,,0,0
BZID-1304437672,,0,0
BZID-1304437698,,0,0
BZID-1304437703,,0,0
BZID-1304437728,,0,0
BZID-1304437733,,0,0
BZID-1304437739,2021-08-27,8,4
BZID-1304437753,2021-07-09,1,1
BZID-1304437813,2021-05-10,10,8
BZID-1304437862,2021-11-22,29,19
BZID-1304437870,2021-10-08,1,1
BZID-1304437915,,0,0
BZID-1304437943,2021-12-18,11,5
BZID-1304437987,2021-12-13,41,20
BZID-1304438037,2021-12-16,195,132
BZID-1304438041,,0,0
BZID-1304438064,2021-12-13,24,19
BZID-1304438073,2021-03-27,2,2
BZID-1304438136,,0,0
BZID-1304438213,,0,0
BZID-1304438233,2021-12-15,37,19
BZID-1304438273,2021-02-25,2,1
BZID-1304438289,2021-10-23,3,3
BZID-1304438305,2021-02-08,1,1
BZID-1304438322,2021-02-22,1,1
BZID-1304438351,2021-12-12,79,36
BZID-1304438416,2021-02-09,1,1
BZID-1304438418,2021-12-17,148,113
BZID-1304438442,2021-02-09,1,1
BZID-1304438481,,0,0
BZID-1304438488,,0,0
BZID-1304438494,2021-03-15,3,3
BZID-1304438508,2021-08-05,8,3
BZID-1304438527,2021-12-18,955,158
BZID-1304438531,2021-12-18,27,20
BZID-1304438582,,0,0
BZID-1304438584,2021-02-05,1,1
BZID-1304438622,2021-12-16,26,23
BZID-1304438653,2021-02-25,3,3
BZID-1304438666,2021-12-15,60,36
BZID-1304438702,2021-12-17,141,105
BZID-1304438735,2021-04-23,9,9
BZID-1304438750,2021-06-24,1,1
BZID-1304438770,2021-04-01,7,4
BZID-1304438784,2021-12-18,53,41
BZID-1304438820,2021-12-17,46,39
BZID-1304438822,,0,0
BZID-1304438832,2021-10-26,22,9
BZID-1304438854,,0,0
BZID-1304438857,2021-03-12,5,5
BZID-1304438895,2021-02-12,1,1
BZID-1304438905,,0,0
BZID-1304438909,2021-12-15,5,2
BZID-1304438913,2021-12-10,77,38
BZID-1304438919,2021-03-15,4,4
BZID-1304438936,2021-03-02,2,2
BZID-1304438948,2021-02-23,1,1
BZID-1304438961,2021-12-10,90,57
BZID-1304438963,2021-10-05,53,30
BZID-1304439024,2021-12-18,1282,297
BZID-1304439026,2021-03-02,1,1
BZID-1304439055,,0,0
BZID-1304439082,2021-06-24,2,2
BZID-1304439112,2021-03-10,3,3
BZID-1304439120,2021-12-17,18,14
BZID-1304439125,2021-03-10,3,3
BZID-1304439126,2021-02-25,2,2
BZID-1304439137,2021-02-24,2,2
BZID-1304439202,,0,0
BZID-1304439240,2021-03-24,3,3
BZID-1304439251,2021-03-18,2,2
BZID-1304439274,2021-03-18,2,2
BZID-1304439300,2020-06-25,1,1
BZID-1304439312,,0,0
BZID-1304439336,,0,0
BZID-1304439339,,0,0
BZID-1304439423,,0,0
BZID-1304439436,2021-01-10,1,1
BZID-1304439446,2021-11-17,54,40
BZID-1304439471,,0,0
BZID-1304439479,,0,0
BZID-1304439506,,0,0
BZID-1304439632,2020-10-28,3,3
BZID-1304439646,2021-02-19,1,1
BZID-1304439655,,0,0
BZID-1304439660,2020-09-26,2,2
BZID-1304439669,2021-06-08,81,52
BZID-1304439677,2021-08-29,5,5
BZID-1304439697,,0,0
BZID-1304439709,2020-06-24,1,1
BZID-1304439713,2021-12-17,199,163
BZID-1304439800,2021-12-17,427,226
BZID-1304439801,,0,0
BZID-1304439846,2021-08-15,4,4
BZID-1304439882,2020-08-04,2,2
BZID-1304439985,2020-10-19,5,5
BZID-1304439995,,0,0
BZID-1304440053,,0,0
BZID-1304440090,2020-06-27,1,1
BZID-1304440114,2021-08-18,81,54
BZID-1304440163,2021-02-13,22,21
BZID-1304440207,2021-12-14,211,125
BZID-1304440266,2021-12-15,119,90
BZID-1304440274,,0,0
BZID-1304440293,2021-08-31,94,57
BZID-1304440349,,0,0
BZID-1304440364,2021-12-18,304,192
BZID-1304440385,,0,0
BZID-1304440398,2021-12-18,79,61
BZID-1304440419,2020-10-09,3,3
BZID-1304440469,2020-09-18,3,3
BZID-1304440494,,0,0
BZID-1304440505,2021-08-13,24,22
BZID-1304440509,2020-06-19,1,1
BZID-1304440530,2021-11-23,1446,364
BZID-1304440583,,0,0
BZID-1304440601,,0,0
BZID-1304440602,,0,0
BZID-1304440618,,0,0
BZID-1304440646,,0,0
BZID-1304440658,,0,0
BZID-1304440685,,0,0
BZID-1304440730,,0,0
BZID-1304440746,2020-06-17,1,1
BZID-1304440748,,0,0
BZID-1304440751,,0,0
BZID-1304440805,2020-06-17,1,1
BZID-1304440807,2020-08-06,3,3
BZID-1304440818,,0,0
BZID-1304440873,,0,0
BZID-1304440885,2021-12-18,65,42
BZID-1304440907,,0,0
BZID-1304440925,,0,0
BZID-1304440927,,0,0
BZID-1304440980,,0,0
BZID-1304441002,2020-07-28,5,5
BZID-1304441004,,0,0
BZID-1304441010,,0,0
BZID-1304441037,2021-11-29,122,38
BZID-1304441076,,0,0
BZID-1304441087,,0,0
BZID-1304441097,,0,0
BZID-1304441109,2021-12-07,147,114
BZID-1304441127,,0,0
BZID-1304441139,2021-12-17,81,67
BZID-1304441191,,0,0
BZID-1304441208,,0,0
BZID-1304441233,2021-12-15,355,227
BZID-1304441245,,0,0
BZID-1304441253,2020-07-18,3,3
BZID-1304441261,2020-06-23,1,1
BZID-1304441313,2020-06-22,2,2
BZID-1304441404,2021-06-09,13,12
BZID-1304441409,2020-10-15,3,3
BZID-1304441422,2020-11-25,19,17
BZID-1304441452,,0,0
BZID-1304441453,2021-05-10,1,1
BZID-1304441476,2020-09-02,5,3
BZID-1304441494,,0,0
BZID-1304441512,2020-09-14,3,3
BZID-1304441548,2021-12-18,99,75
BZID-1304441552,,0,0
BZID-1304441600,,0,0
BZID-1304441674,,0,0
BZID-1304441683,,0,0
BZID-1304441753,2020-07-27,1,1
BZID-1304441756,,0,0
BZID-1304441775,2021-03-15,60,24
BZID-1304441792,2021-09-16,106,85
BZID-1304441815,,0,0
BZID-1304441818,2020-12-23,3,3
BZID-1304441885,2020-08-01,1,1
BZID-1304441903,2020-11-09,6,4
BZID-1304441929,2021-03-17,23,22
BZID-1304441948,,0,0
BZID-1304442011,,0,0
BZID-1304442045,2021-12-18,245,182
BZID-1304442055,2020-10-14,8,6
BZID-1304442071,2020-12-12,33,22
BZID-1304442082,,0,0
BZID-1304442117,,0,0
BZID-1304442200,,0,0
BZID-1304442221,,0,0
BZID-1304442235,,0,0
BZID-1304442249,2020-07-31,1,1
BZID-1304442287,,0,0
BZID-1304442304,,0,0
BZID-1304442318,2021-04-08,14,8
BZID-1304442320,,0,0
BZID-1304442326,2021-12-17,315,179
BZID-1304442340,2021-05-05,5,5
BZID-1304442380,,0,0
BZID-1304442402,,0,0
BZID-1304442428,,0,0
BZID-1304442440,2021-12-17,168,119
BZID-1304442443,2020-10-01,11,5
BZID-1304442447,2020-07-09,1,1
BZID-1304442449,2020-07-13,1,1
BZID-1304442458,,0,0
BZID-1304442464,,0,0
BZID-1304442476,2020-07-09,1,1
BZID-1304442510,2021-12-18,359,203
BZID-1304442544,,0,0
BZID-1304442545,,0,0
BZID-1304442546,,0,0
BZID-1304442592,2020-07-25,2,2
BZID-1304442606,2020-07-21,4,3
BZID-1304442610,,0,0
BZID-1304442619,2020-07-11,1,1
BZID-1304442669,2021-12-07,480,161
BZID-1304442703,2020-07-04,1,1
BZID-1304442716,2021-12-13,105,93
BZID-1304442737,2020-07-14,1,1
BZID-1304442742,,0,0
BZID-1304442810,2021-06-02,42,36
BZID-1304442816,2020-11-25,10,9
BZID-1304442845,2020-07-07,1,1
BZID-1304442889,2021-06-01,20,14
BZID-1304442908,2021-12-14,77,58
BZID-1304442955,,0,0
BZID-1304442974,2020-09-25,8,8
BZID-1304443004,2020-07-21,1,1
BZID-1304443018,2020-10-30,13,12
BZID-1304443038,,0,0
BZID-1304443042,2020-09-11,1,1
BZID-1304443047,,0,0
BZID-1304443066,,0,0
BZID-1304443106,2020-09-19,1,1
BZID-1304443110,,0,0
BZID-1304443121,,0,0
BZID-1304443187,2021-12-18,146,62
BZID-1304443195,2020-07-14,1,1
BZID-1304443231,2020-07-13,1,1
BZID-1304443241,,0,0
BZID-1304443254,2021-04-13,36,26
BZID-1304443277,,0,0
BZID-1304443280,2021-02-14,19,18
BZID-1304443369,2020-07-15,1,1
BZID-1304443399,2021-12-14,683,295
BZID-1304443412,2020-08-25,1,1
BZID-1304443429,2020-09-12,25,3
BZID-1304443460,,0,0
BZID-1304443482,2020-08-23,1,1
BZID-1304443502,,0,0
BZID-1304443513,,0,0
BZID-1304443522,,0,0
BZID-1304443545,2021-12-09,26,19
BZID-1304443595,2021-12-17,623,292
BZID-1304443599,2020-11-09,52,14
BZID-1304443638,,0,0
BZID-1304443654,2021-11-16,114,82
BZID-1304443679,2021-05-06,59,51
BZID-1304443788,2021-02-08,38,27
BZID-1304443796,,0,0
BZID-1304443802,2021-06-10,27,21
BZID-1304443806,,0,0
BZID-1304443904,2020-09-21,1,1
BZID-1304443926,2021-12-18,560,295
BZID-1304443943,,0,0
BZID-1304443978,,0,0
BZID-1304443988,,0,0
BZID-1304443996,,0,0
BZID-1304444021,,0,0
BZID-1304444051,,0,0
BZID-1304444094,,0,0
BZID-1304444102,2020-09-01,1,1
BZID-1304444140,,0,0
BZID-1304444143,2021-12-16,152,118
BZID-1304444153,,0,0
BZID-1304444163,,0,0
BZID-1304444178,,0,0
BZID-1304444192,2020-08-28,1,1
BZID-1304444261,2020-08-28,1,1
BZID-1304444310,2020-12-22,85,14
BZID-1304444315,,0,0
BZID-1304444318,2021-09-18,56,44
BZID-1304444342,2021-12-17,71,58
BZID-1304444362,,0,0
BZID-1304444376,2021-12-18,36,19
BZID-1304444412,,0,0
BZID-1304444413,,0,0
BZID-1304444423,2020-08-14,2,2
BZID-1304444429,,0,0
BZID-1304444524,2021-12-15,15,14
BZID-1304444531,,0,0
BZID-1304444550,,0,0
BZID-1304444565,2020-09-15,4,4
BZID-1304444570,,0,0
BZID-1304444612,2020-09-20,41,19
BZID-1304444646,2020-08-17,2,2
BZID-1304444695,,0,0
BZID-1304444752,2021-12-15,249,155
BZID-1304444804,2020-10-23,7,6
BZID-1304444806,2021-12-14,33,27
BZID-1304444808,2020-09-30,6,6
BZID-1304444823,2021-04-08,22,20
BZID-1304444842,2021-06-26,155,38
BZID-1304444888,,0,0
BZID-1304444947,2021-12-18,351,173
BZID-1304445031,2021-12-12,113,60
BZID-1304445033,2021-12-13,556,177
BZID-1304445080,2021-12-18,705,341
BZID-1304445087,,0,0
BZID-1304445160,2020-09-21,2,2
BZID-1304445203,,0,0
BZID-1304445282,2021-07-16,12,12
BZID-1304445284,2020-08-10,1,1
BZID-1304445293,,0,0
BZID-1304445309,,0,0
BZID-1304445312,2020-08-12,1,1
BZID-1304445363,2021-11-22,5,5
BZID-1304445366,2020-09-07,4,4
BZID-1304445429,2021-12-18,97,75
BZID-1304445436,2021-12-17,1495,290
BZID-1304445474,2020-10-02,1,1
BZID-1304445485,2020-10-02,1,1
BZID-1304445508,2020-09-30,1,1
BZID-1304445526,,0,0
BZID-1304445620,,0,0
BZID-1304445705,,0,0
BZID-1304445721,2021-11-21,28,23
BZID-1304445729,2021-12-18,125,98
BZID-1304445802,,0,0
BZID-1304445841,2020-10-01,1,1
BZID-1304445842,2021-01-10,34,19
BZID-1304445861,2021-12-17,912,177
BZID-1304445867,,0,0
BZID-1304445892,2021-12-18,187,126
BZID-1304445909,,0,0
BZID-1304445914,,0,0
BZID-1304445938,,0,0
BZID-1304445964,,0,0
BZID-1304446003,,0,0
BZID-1304446099,2021-04-13,35,33
BZID-1304446106,,0,0
BZID-1304446152,,0,0
BZID-1304446182,,0,0
BZID-1304446198,2021-01-23,2,2
BZID-1304446248,2021-12-18,143,99
BZID-1304446261,2021-12-16,827,300
BZID-1304446275,2021-06-05,39,28
BZID-1304446294,2021-06-14,21,18
BZID-1304446307,2021-12-18,217,136
BZID-1304446340,2020-10-10,1,1
BZID-1304446374,2021-10-17,29,9
BZID-1304446407,,0,0
BZID-1304446411,2021-08-29,7,7
BZID-1304446413,2021-12-18,592,262
BZID-1304446433,2021-12-18,214,115
BZID-1304446488,2021-12-02,114,77
BZID-1304446489,2020-10-03,9,7
BZID-1304446563,2021-04-17,28,19
BZID-1304446585,,0,0
BZID-1304446587,,0,0
BZID-1304446588,2021-12-05,110,70
BZID-1304446594,,0,0
BZID-1304446603,,0,0
BZID-1304446608,2020-09-11,1,1
BZID-1304446628,,0,0
BZID-1304446643,2020-09-11,1,1
BZID-1304446653,2021-05-31,14,13
BZID-1304446657,,0,0
BZID-1304446668,2020-12-12,81,12
BZID-1304446677,,0,0
BZID-1304446706,2021-02-26,5,5
BZID-1304446714,,0,0
BZID-1304446736,2021-11-28,299,203
BZID-1304446750,,0,0
BZID-1304446752,,0,0
BZID-1304446788,2020-09-12,1,1
BZID-1304446794,,0,0
BZID-1304446799,,0,0
BZID-1304446803,,0,0
BZID-1304446827,2020-10-09,3,3
BZID-1304446837,2021-10-16,12,9
BZID-1304446854,,0,0
