businessid,prev_max_order_dt,prev_total_orders,prev_distinct_order_dates
BZID-1304460223,2020-03-19,285,134
BZID-1304472645,2021-12-16,352,303
BZID-1304368351,2021-12-17,40,26
BZID-1304391585,2021-12-18,58,49
BZID-1304469206,2021-12-18,4317,985
BZID-1304375846,2021-12-17,162,42
BZID-1304417906,2021-12-06,5,4
BZID-1304410383,2021-12-02,4,4
BZID-1304473150,2021-02-04,1411,607
BZID-1304420385,2021-12-17,61,52
BZID-1304467544,2021-12-08,181,116
BZID-1304462437,2021-11-11,11,5
BZID-1304352926,2021-12-18,15,13
BZID-1304392987,2021-12-02,8,6
BZID-1304477656,2020-05-08,237,165
BZID-1304463967,2021-12-04,186,118
BZID-1304424546,2021-10-11,7,4
BZID-1304604016,2021-12-09,20,13
BZID-1304449404,2021-12-17,16,11
BZID-1304350518,2021-12-09,12,9
BZID-1304362464,2021-12-14,19,16
BZID-1304354836,2021-12-18,7,6
BZID-1304350114,2021-12-15,3,3
BZID-1304408474,2021-12-08,18,17
BZID-1304472053,2021-12-18,4072,800
BZID-1304419103,2021-12-18,54,46
BZID-1304470918,2021-07-23,378,278
BZID-1304422268,2021-12-18,37,30
BZID-1304440014,2021-04-11,103,63
BZID-1304391027,2021-12-15,49,35
BZID-1304464529,2021-12-18,1924,778
BZID-1304464047,2021-12-18,1065,572
BZID-1304435785,2021-08-12,45,27
BZID-1304358267,2021-12-15,19,12
BZID-1304425743,2021-12-03,52,39
BZID-1304398190,2021-12-04,18,18
BZID-1304392057,2021-12-10,5,4
BZID-1304606205,2021-12-16,5,4
BZID-1304388372,2021-12-16,46,29
BZID-1304423456,2021-12-11,8,8
BZID-1304426501,2021-12-16,32,27
BZID-1304423002,2021-12-14,60,20
BZID-1304448780,2021-12-14,12,11
BZID-1304407464,2021-12-18,186,72
BZID-1304353953,2021-12-03,3,3
BZID-1304389961,2021-12-17,25,19
BZID-1304382283,2021-12-18,13,12
BZID-1304393855,2021-12-03,29,27
BZID-1304396527,2021-12-13,31,26
BZID-1304383575,2021-10-22,6,4
BZID-1304389793,2021-12-16,29,22
BZID-1304422436,2021-12-18,228,61
BZID-1304460358,2021-10-30,107,73
BZID-1304456146,2021-09-05,1034,448
BZID-1304462332,2021-12-02,295,184
BZID-1304434367,2021-12-18,134,81
BZID-1304431309,2021-12-16,235,48
BZID-1304472880,2021-12-17,3613,1267
BZID-1304466893,2020-06-23,406,266
BZID-1304475793,2018-08-05,79,26
BZID-1304475269,2021-12-16,2296,961
BZID-1304475829,2021-12-17,786,502
BZID-1304476693,2021-12-18,681,467
BZID-1304465039,2021-09-06,208,161
BZID-1304475526,2021-12-02,3858,1050
BZID-1304466552,2021-12-18,1030,627
BZID-1304471491,2019-02-14,382,64
BZID-1304477901,2021-12-18,1342,573
BZID-1304475648,2021-12-16,5660,938
BZID-1304474188,2021-12-18,1905,769
BZID-1304475226,2021-12-14,431,295
BZID-1304478574,2021-12-17,4970,956
BZID-1304476161,2020-07-24,161,114
BZID-1304473647,2021-12-18,4536,1239
BZID-1304452545,2021-12-16,712,256
BZID-1304479713,2019-03-19,511,169
BZID-1304474213,2021-12-18,2517,1053
BZID-1304351590,2021-12-15,32,20
BZID-1304471107,2021-12-11,948,108
BZID-1304416483,2021-12-17,147,93
BZID-1304364670,2021-12-18,98,39
BZID-1304419664,2021-12-11,15,10
BZID-1304377224,2021-12-18,138,45
BZID-1304596366,2021-12-18,4,3
BZID-1304460992,2021-12-18,752,270
BZID-1304465945,2021-12-17,444,335
BZID-1304376601,2021-12-17,16,12
BZID-1304452874,2021-12-18,70,64
BZID-1304606729,2021-12-13,6,5
BZID-1304357866,2021-12-08,11,9
BZID-1304458341,2021-12-15,279,196
BZID-1304476430,2021-12-18,383,342
BZID-1304415794,2021-12-18,340,111
BZID-1304392601,2021-10-13,9,7
BZID-1304382968,2021-09-06,5,1
BZID-1304406944,2021-08-12,2,2
BZID-1304377186,2021-12-17,28,24
BZID-1304398309,2021-11-08,11,11
BZID-1304382215,2021-12-18,34,24
