businessid,total_visits
BZID-1304381622,1
BZID-1304427842,2
BZID-1304473688,1
BZID-1304413226,1
BZID-1304375001,1
BZID-1304394756,1
BZID-1304453147,1
BZID-1304456134,1
BZID-1304425846,1
BZID-1304412243,2
BZID-1304404714,1
BZID-1304376341,1
BZID-1304450799,2
BZID-1304407047,1
BZID-1304419741,1
BZID-1304401984,9
BZID-1304400568,1
BZID-1304416703,2
BZID-1304420622,3
BZID-1304402947,1
BZID-1304429273,1
BZID-1304459032,1
BZID-1304447668,1
BZID-1304378200,1
BZID-1304408530,1
BZID-1304369361,1
BZID-1304462186,2
BZID-1304361220,1
BZID-1304443568,1
BZID-1304412123,1
BZID-1304479977,1
BZID-1304428438,1
BZID-1304398120,1
BZID-1304385361,3
BZID-1304407891,2
BZID-1304387410,1
BZID-1304362992,3
BZID-1304432891,1
BZID-1304474264,1
BZID-1304384785,2
BZID-1304397803,1
BZID-1304385372,2
BZID-1304455891,1
BZID-1304413943,2
BZID-1304359937,2
BZID-1304463349,3
BZID-1304407503,2
BZID-1304380609,1
BZID-1304393888,1
BZID-1304376471,1
BZID-1304428873,1
BZID-1304406541,1
BZID-1304406421,3
BZID-1304359462,1
BZID-1304392646,1
BZID-1304380100,1
BZID-1304375020,1
BZID-1304425591,1
BZID-1304385048,1
BZID-1304426345,1
BZID-1304392871,1
BZID-1304387130,1
BZID-1304379421,1
BZID-1304382454,2
BZID-1304461927,1
BZID-1304396239,2
BZID-1304373837,2
BZID-1304418443,1
BZID-1304413138,1
BZID-1304452337,1
BZID-1304376512,1
BZID-1304377375,1
BZID-1304449645,1
BZID-1304411078,1
BZID-1304367245,1
BZID-1304427035,1
BZID-1304454916,1
BZID-1304476191,1
BZID-1304368646,1
BZID-1304416250,2
BZID-1304376160,1
BZID-1304371103,1
BZID-1304421699,1
BZID-1304406130,2
BZID-1304379466,1
BZID-1304414745,1
BZID-1304382619,1
BZID-1304459840,1
BZID-1304388375,1
BZID-1304426612,2
BZID-1304460456,3
BZID-1304415137,2
BZID-1304394484,2
BZID-1304387494,3
BZID-1304478689,2
BZID-1304420237,1
BZID-1304431862,1
BZID-1304408355,2
BZID-1304436351,1
BZID-1304366563,1
BZID-1304449034,1
BZID-1304368088,1
BZID-1304372242,2
BZID-1304479077,1
BZID-1304606560,1
BZID-1304448139,1
BZID-1304411436,2
BZID-1304385043,2
BZID-1304462621,1
BZID-1304429158,2
BZID-1304349331,1
BZID-1304390218,1
BZID-1304463860,1
BZID-1304378144,3
