businessid,rating_cnt,avg_rating
BZID-1304469696,2,3
BZID-1304414893,18,4
BZID-1304411280,87,4
BZID-1304447585,24,5
BZID-1304468707,4,5
BZID-1304400951,14,5
BZID-1304404167,3,4
BZID-1304402815,16,2
BZID-1304402969,11,5
BZID-1304396034,4,5
BZID-1304394255,9,3
BZID-1304389022,1,5
BZID-1304422764,4,5
BZID-1304376865,2,3
BZID-1304367055,1,4
BZID-1304358253,3,5
BZID-1304351933,5,3
BZID-1304355060,8,5
BZID-1304604804,11,5
BZID-1304397219,1,5
BZID-1304610101,14,5
BZID-1304610181,9,3
BZID-1304595455,49,5
BZID-1304365296,2,4
BZID-1304567601,1,1
BZID-1304557064,5,3
BZID-1304563442,1,5
BZID-1304467726,61,5
BZID-1304460818,1,5
BZID-1304479672,5,4
BZID-1304466755,17,4
BZID-1304435974,6,5
BZID-1304448988,6,5
BZID-1304399738,101,3
BZID-1304471185,2,5
BZID-1304464407,16,5
BZID-1304408048,4,3
BZID-1304449779,12,5
BZID-1304477922,20,5
BZID-1304470185,1,5
BZID-1304434580,3,4
BZID-1304444253,13,4
BZID-1304438570,6,3
BZID-1304393914,1,5
BZID-1304396471,1,1
BZID-1304381977,11,4
BZID-1304389739,3,5
BZID-1304376664,6,3
BZID-1304381857,1,5
BZID-1304474187,3,5
BZID-1304370022,25,4
BZID-1304367942,2,5
BZID-1304373370,53,4
BZID-1304401721,45,3
BZID-1304351650,22,4
BZID-1304609743,3,5
BZID-1304595227,4,4
BZID-1304598944,1,1
BZID-1304423856,3,5
BZID-1304399506,42,3
BZID-1304410444,1,4
BZID-1304474519,16,5
BZID-1304417903,10,5
BZID-1304459487,1,5
BZID-1304462124,6,2
BZID-1304433427,51,2
BZID-1304467378,28,5
BZID-1304424401,1,5
BZID-1304478663,34,5
BZID-1304444327,9,5
BZID-1304429171,4,5
BZID-1304466387,20,5
BZID-1304477039,3,4
BZID-1304457539,2,5
BZID-1304414297,1,1
BZID-1304471892,4,5
BZID-1304426301,10,3
BZID-1304457347,25,4
BZID-1304436892,1,5
BZID-1304395323,1,5
BZID-1304394661,7,5
BZID-1304387022,3,5
BZID-1304387052,1,4
BZID-1304375312,12,3
BZID-1304368307,7,5
BZID-1304370030,11,3
BZID-1304389517,1,5
BZID-1304352988,1,5
BZID-1304356848,1,3
BZID-1304606682,3,4
BZID-1304608269,4,3
BZID-1304610220,36,5
BZID-1304601085,7,3
BZID-1304596658,7,5
BZID-1304599518,3,5
BZID-1304590363,18,1
BZID-1304578002,1,5
BZID-1304578440,10,3
BZID-1304566398,1,5
BZID-1304413011,2,5
BZID-1304475001,6,5
BZID-1304440354,1,5
BZID-1304403942,3,4
BZID-1304420033,168,3
BZID-1304431649,4,5
BZID-1304459041,5,3
BZID-1304470955,1,4
BZID-1304408425,21,3
BZID-1304463905,170,4
BZID-1304478200,39,4
BZID-1304458611,10,5
BZID-1304465007,6,5
BZID-1304422705,17,5
BZID-1304449856,37,5
BZID-1304467711,9,4
BZID-1304442021,5,5
BZID-1304463571,1,3
BZID-1304431913,4,5
BZID-1304419576,12,4
BZID-1304469283,18,4
BZID-1304403132,2,5
BZID-1304410069,3,5
BZID-1304396723,10,4
BZID-1304424400,1,1
BZID-1304381925,71,5
BZID-1304379943,29,3
BZID-1304368263,3,5
BZID-1304368309,10,3
BZID-1304363997,16,3
BZID-1304362160,3,4
BZID-1304350524,1,5
BZID-1304351088,8,2
BZID-1304606307,2,5
BZID-1304607778,7,5
BZID-1304607839,28,2
BZID-1304574852,2,5
BZID-1304470670,1,3
BZID-1304428398,61,5
BZID-1304476890,2,5
BZID-1304430574,50,5
BZID-1304429411,14,5
BZID-1304458849,7,5
BZID-1304447333,2,5
BZID-1304431772,1,5
BZID-1304425882,2,5
BZID-1304478607,25,5
BZID-1304420681,7,5
BZID-1304403859,3,5
BZID-1304419252,1,5
BZID-1304434429,19,5
BZID-1304415910,30,3
BZID-1304474822,9,3
BZID-1304465157,2,5
BZID-1304417351,25,2
BZID-1304435985,3,5
BZID-1304405877,4,3
BZID-1304416589,7,3
BZID-1304383333,4,4
BZID-1304389208,21,3
BZID-1304389331,47,3
BZID-1304377050,8,5
BZID-1304393426,25,3
BZID-1304373476,5,3
BZID-1304363746,27,4
BZID-1304603515,1,1
BZID-1304596424,14,4
BZID-1304597377,13,4
BZID-1304590634,3,5
BZID-1304597488,8,5
BZID-1304577173,7,3
BZID-1304556761,1,5
BZID-1304469460,4,5
BZID-1304477828,45,4
BZID-1304460155,5,5
BZID-1304472487,1,3
BZID-1304421781,1,5
BZID-1304456291,14,5
BZID-1304417422,8,5
BZID-1304425325,53,5
BZID-1304473735,1,5
BZID-1304472478,1,5
BZID-1304461336,5,3
BZID-1304425027,1,5
BZID-1304424509,4,4
BZID-1304449111,26,5
BZID-1304402483,1,5
BZID-1304470692,11,3
BZID-1304395047,10,5
BZID-1304385499,11,3
BZID-1304370633,1,5
BZID-1304396366,6,5
BZID-1304372112,7,5
BZID-1304364110,44,3
BZID-1304436596,5,5
BZID-1304351977,4,3
BZID-1304355432,4,4
BZID-1304355552,7,3
BZID-1304609766,23,3
BZID-1304609398,10,5
BZID-1304597915,7,4
BZID-1304600764,8,5
BZID-1304563292,1,5
BZID-1304577265,3,5
BZID-1304559928,19,5
BZID-1304559049,34,4
BZID-1304476315,4,4
BZID-1304450875,10,4
BZID-1304463238,11,3
BZID-1304427063,1,1
BZID-1304463876,1,5
BZID-1304474699,14,5
BZID-1304470496,2,5
BZID-1304465177,1,5
BZID-1304424762,20,5
BZID-1304428233,212,3
BZID-1304469534,30,5
BZID-1304428669,26,4
BZID-1304464747,2,3
BZID-1304434684,1,5
BZID-1304400354,1,5
BZID-1304394986,8,3
BZID-1304398084,1,5
BZID-1304398504,2,5
BZID-1304359243,2,5
BZID-1304464967,40,3
BZID-1304350834,1,1
BZID-1304350079,6,5
BZID-1304354461,15,5
BZID-1304605749,9,5
