businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304432223,12,5,595.000000
BZID-1304469699,5,2,3320.000000
BZID-1304450121,6,2,85.000000
BZID-1304475088,5,5,415.000000
BZID-1304478859,4,2,785.000000
BZID-1304474804,6,4,300.000000
BZID-1304425993,6,2,155.000000
BZID-1304436559,3,1,85.000000
BZID-1304471637,7,2,290.000000
BZID-1304466519,3,1,435.000000
BZID-1304431463,6,3,290.000000
BZID-1304450253,6,4,110.000000
BZID-1304476495,2,0,0.000000
BZID-1304434590,4,0,0.000000
BZID-1304450389,2,0,0.000000
BZID-1304457612,4,3,240.000000
BZID-1304470122,7,4,2670.000000
BZID-1304479172,4,2,785.000000
BZID-1304456328,6,1,270.000000
BZID-1304458128,4,3,175.000000
BZID-1304472630,3,1,925.000000
BZID-1304412564,9,4,150.000000
BZID-1304479606,7,0,0.000000
BZID-1304418605,5,5,920.000000
BZID-1304477960,4,2,1325.000000
BZID-1304425064,4,0,0.000000
BZID-1304465363,5,1,1400.000000
BZID-1304465445,8,3,50.000000
BZID-1304463751,5,2,125.000000
BZID-1304436091,9,5,165.000000
BZID-1304431883,2,0,0.000000
BZID-1304446126,3,1,20.000000
BZID-1304382833,1,1,270.000000
BZID-1304472453,2,1,270.000000
BZID-1304478951,5,3,230.000000
BZID-1304458922,7,3,50.000000
BZID-1304472505,4,2,170.000000
BZID-1304406687,3,2,65.000000
BZID-1304406836,3,1,135.000000
BZID-1304431607,3,0,0.000000
BZID-1304401798,7,3,95.000000
BZID-1304445865,3,1,20.000000
BZID-1304424107,5,0,0.000000
BZID-1304403755,5,1,5.000000
BZID-1304477813,3,0,0.000000
BZID-1304399359,3,2,30.000000
BZID-1304446271,4,1,40.000000
BZID-1304472580,2,1,10.000000
BZID-1304425422,2,0,0.000000
BZID-1304461865,2,2,400.000000
BZID-1304417331,2,2,335.000000
BZID-1304462157,3,2,335.000000
BZID-1304456889,2,2,405.000000
BZID-1304398931,2,2,400.000000
BZID-1304426467,3,2,335.000000
BZID-1304473979,3,2,400.000000
BZID-1304413421,2,0,0.000000
BZID-1304446246,4,2,220.000000
BZID-1304428099,2,1,200.000000
BZID-1304369239,2,0,0.000000
BZID-1304371216,2,1,200.000000
BZID-1304436128,2,0,0.000000
BZID-1304428519,2,2,280.000000
BZID-1304436047,2,1,80.000000
BZID-1304399050,2,0,0.000000
BZID-1304603650,2,1,100.000000
BZID-1304467406,3,3,355.000000
BZID-1304405187,2,0,0.000000
BZID-1304468608,4,2,105.000000
BZID-1304373049,2,1,200.000000
BZID-1304463432,2,0,0.000000
BZID-1304443677,2,1,80.000000
BZID-1304378872,2,0,0.000000
BZID-1304457797,2,0,0.000000
BZID-1304469774,2,1,135.000000
BZID-1304385623,2,1,135.000000
BZID-1304377641,2,0,0.000000
BZID-1304455253,2,2,215.000000
BZID-1304360407,2,0,0.000000
BZID-1304420447,2,0,0.000000
BZID-1304374909,2,1,80.000000
BZID-1304385591,2,2,470.000000
BZID-1304472796,3,1,135.000000
BZID-1304395993,2,2,400.000000
BZID-1304408938,4,0,0.000000
BZID-1304375444,2,1,135.000000
BZID-1304437233,2,2,215.000000
BZID-1304387029,2,2,270.000000
BZID-1304373039,3,2,470.000000
BZID-1304606720,1,1,270.000000
BZID-1304423708,2,0,0.000000
BZID-1304430985,3,1,15.000000
BZID-1304597094,2,1,100.000000
BZID-1304412683,2,0,0.000000
BZID-1304385484,2,0,0.000000
BZID-1304409781,2,2,270.000000
BZID-1304448339,2,0,0.000000
BZID-1304465406,2,0,0.000000
BZID-1304431051,2,0,0.000000
BZID-1304384420,2,0,0.000000
BZID-1304603978,2,2,235.000000
