businessid,calls
BZID-1304443532,1
BZID-1304423106,2
BZID-1304402223,3
BZID-1304414793,2
BZID-1304451194,1
BZID-1304445921,1
BZID-1304384215,3
BZID-1304461898,3
BZID-1304609478,1
BZID-1304397046,7
BZID-1304429445,1
BZID-1304410259,1
BZID-1304386613,1
BZID-1304397536,3
BZID-1304462797,1
BZID-1304388386,2
BZID-1304393923,7
BZID-1304410298,1
BZID-1304360991,3
BZID-1304369515,2
BZID-1304458892,2
BZID-1304600423,2
BZID-1304413703,1
BZID-1304598434,3
BZID-1304608768,6
BZID-1304380270,2
BZID-1304456817,1
BZID-1304354550,3
BZID-1304369587,3
BZID-1304459419,2
BZID-1304359051,1
BZID-1304448340,2
BZID-1304443354,1
BZID-1304375363,18
BZID-1304447650,1
BZID-1304575473,6
BZID-1304421879,3
BZID-1304386341,2
BZID-1304361203,4
BZID-1304405670,2
BZID-1304405501,3
BZID-1304382908,1
BZID-1304598781,1
BZID-1304352496,1
BZID-1304387018,2
BZID-1304427030,5
BZID-1304391199,1
BZID-1304448074,3
BZID-1304359661,2
BZID-1304447834,1
BZID-1304464548,1
BZID-1304451275,2
BZID-1304433563,7
BZID-1304447873,2
BZID-1304414197,1
BZID-1304365664,2
BZID-1304403404,1
BZID-1304445857,3
BZID-1304372614,1
BZID-1304436874,5
BZID-1304605022,3
BZID-1304418931,2
BZID-1304423632,4
BZID-1304398311,14
BZID-1304361333,1
BZID-1304355839,1
BZID-1304438323,3
BZID-1304412988,10
BZID-1304460465,7
BZID-1304404950,3
BZID-1304475026,3
BZID-1304376753,10
BZID-1304451305,3
BZID-1304454925,2
BZID-1304391908,5
BZID-1304401007,1
BZID-1304416313,2
BZID-1304370335,1
BZID-1304398093,13
BZID-1304435647,1
BZID-1304416927,3
BZID-1304410280,1
BZID-1304417365,3
BZID-1304610405,6
BZID-1304376769,1
BZID-1304423094,2
BZID-1304408609,2
BZID-1304444526,1
BZID-1304375617,1
BZID-1304469473,2
BZID-1304478284,5
BZID-1304410238,1
BZID-1304462414,1
BZID-1304376850,2
BZID-1304400886,3
BZID-1304592355,3
BZID-1304376832,28
BZID-1304374919,1
BZID-1304469179,4
BZID-1304413893,1
BZID-1304474959,2
BZID-1304477123,2
BZID-1304434968,2
BZID-1304473056,2
BZID-1304362041,3
BZID-1304434703,1
BZID-1304428763,6
BZID-1304610900,3
BZID-1304377803,5
BZID-1304418071,4
BZID-1304391427,10
BZID-1304396341,1
BZID-1304357003,1
BZID-1304456071,3
BZID-1304410312,2
BZID-1304437963,3
BZID-1304416949,8
BZID-1304436783,2
BZID-1304596242,1
BZID-1304352701,3
BZID-1304436631,5
BZID-1304550211,1
BZID-1304448215,6
BZID-1304405943,2
BZID-1304477631,2
BZID-1304361048,2
BZID-1304371411,2
BZID-1304609019,4
BZID-1304438067,2
BZID-1304409388,2
BZID-1304469234,2
BZID-1304397008,4
BZID-1304437076,2
BZID-1304471555,1
BZID-1304352454,1
BZID-1304395910,8
BZID-1304435343,9
BZID-1304556124,2
BZID-1304416362,2
BZID-1304350837,2
BZID-1304408149,9
BZID-1304420083,9
BZID-1304423221,1
BZID-1304437977,3
BZID-1304433889,1
BZID-1304466079,3
BZID-1304460615,2
BZID-1304464968,3
BZID-1304597907,2
BZID-1304394753,2
BZID-1304394604,1
BZID-1304472747,1
BZID-1304383601,6
BZID-1304551524,3
BZID-1304399760,2
BZID-1304446047,3
BZID-1304429600,6
BZID-1304413375,1
BZID-1304353570,1
BZID-1304474172,1
BZID-1304419494,1
BZID-1304442784,2
BZID-1304433963,2
BZID-1304608638,2
BZID-1304424213,2
BZID-1304546684,5
BZID-1304438283,5
BZID-1304429065,1
BZID-1304366682,3
BZID-1304419819,1
BZID-1304595743,1
BZID-1304447751,1
BZID-1304396873,1
BZID-1304456458,2
BZID-1304368703,1
BZID-1304405393,1
BZID-1304415075,1
BZID-1304418529,3
BZID-1304418934,5
BZID-1304460930,6
BZID-1304388222,1
BZID-1304423402,4
BZID-1304415939,11
BZID-1304370427,1
BZID-1304456209,1
BZID-1304400606,1
BZID-1304478656,2
BZID-1304362635,1
BZID-1304438730,4
BZID-1304383066,4
BZID-1304369187,3
BZID-1304391530,1
BZID-1304387527,1
BZID-1304403889,2
BZID-1304416579,2
BZID-1304594959,2
BZID-1304427758,1
BZID-1304430809,1
BZID-1304428288,2
BZID-1304466963,1
BZID-1304472538,1
BZID-1304379098,3
BZID-1304359696,5
BZID-1304384500,1
BZID-1304401654,1
BZID-1304457329,4
BZID-1304605421,1
BZID-1304419972,3
BZID-1304428911,1
BZID-1304599524,2
BZID-1304424205,1
BZID-1304381978,5
BZID-1304405457,4
BZID-1304361734,2
BZID-1304408471,2
BZID-1304406752,1
BZID-1304398030,1
BZID-1304400097,9
BZID-1304374718,1
BZID-1304477966,1
BZID-1304361428,4
BZID-1304474282,2
BZID-1304382014,2
BZID-1304435132,1
BZID-1304382482,9
BZID-1304414758,1
BZID-1304470747,1
BZID-1304605951,6
BZID-1304470463,1
BZID-1304465433,3
BZID-1304590509,1
BZID-1304380274,14
BZID-1304446733,3
BZID-1304380455,1
BZID-1304421358,1
BZID-1304609195,1
BZID-1304356021,2
BZID-1304475506,3
BZID-1304418510,1
BZID-1304396454,2
BZID-1304402474,6
BZID-1304610006,1
BZID-1304385637,1
BZID-1304416739,2
BZID-1304446654,3
BZID-1304479830,1
BZID-1304442652,1
BZID-1304379504,1
BZID-1304455409,2
BZID-1304407252,1
BZID-1304406247,1
BZID-1304400593,3
BZID-1304375455,2
BZID-1304366664,2
BZID-1304424239,3
BZID-1304594993,1
BZID-1304416050,2
BZID-1304479461,1
BZID-1304419996,7
BZID-1304438157,3
BZID-1304463589,4
BZID-1304417064,1
BZID-1304391001,1
BZID-1304357066,3
BZID-1304406098,3
BZID-1304395593,1
BZID-1304472297,2
BZID-1304386402,1
BZID-1304428304,1
BZID-1304413765,1
BZID-1304608843,1
BZID-1304451440,6
BZID-1304368542,2
BZID-1304455735,1
BZID-1304416672,2
BZID-1304359770,1
BZID-1304421586,3
BZID-1304441615,1
BZID-1304353651,2
BZID-1304353018,2
BZID-1304379696,2
BZID-1304429058,3
BZID-1304406964,1
BZID-1304350279,6
BZID-1304397364,1
BZID-1304439934,3
BZID-1304394762,1
BZID-1304582823,3
BZID-1304397353,5
BZID-1304448040,8
BZID-1304427378,2
BZID-1304380321,3
BZID-1304455888,4
BZID-1304383186,2
BZID-1304403769,3
BZID-1304539636,1
BZID-1304434054,2
BZID-1304405382,1
BZID-1304563989,5
BZID-1304376090,1
BZID-1304399274,2
BZID-1304360099,4
BZID-1304442690,3
BZID-1304414176,2
BZID-1304428458,2
BZID-1304417109,2
BZID-1304397963,6
BZID-1304388371,3
BZID-1304409478,1
BZID-1304556415,1
BZID-1304395088,2
BZID-1304386719,1
BZID-1304449772,3
BZID-1304405608,2
BZID-1304432904,3
BZID-1304458398,1
BZID-1304399823,1
BZID-1304460981,3
BZID-1304374127,1
BZID-1304403669,1
BZID-1304358820,1
BZID-1304360840,1
BZID-1304462394,2
BZID-1304412589,1
BZID-1304407218,1
BZID-1304384741,1
BZID-1304435872,2
BZID-1304354427,3
BZID-1304384455,1
BZID-1304376276,2
BZID-1304368168,1
BZID-1304393449,2
BZID-1304396323,3
BZID-1304377068,2
BZID-1304405595,1
BZID-1304396542,1
BZID-1304414870,7
BZID-1304457636,2
BZID-1304379809,1
BZID-1304460744,2
BZID-1304425160,3
BZID-1304419674,3
BZID-1304350163,1
BZID-1304425011,2
BZID-1304404347,1
BZID-1304427890,11
BZID-1304416432,2
BZID-1304436808,13
BZID-1304431323,4
BZID-1304462125,1
BZID-1304418188,3
BZID-1304388192,2
BZID-1304398902,3
BZID-1304404091,3
BZID-1304435592,5
BZID-1304360149,4
BZID-1304610646,1
BZID-1304369216,1
BZID-1304467820,1
BZID-1304401405,1
BZID-1304425540,7
BZID-1304595827,4
BZID-1304358585,4
BZID-1304421684,7
BZID-1304431096,1
BZID-1304559398,1
BZID-1304420342,3
BZID-1304379837,2
BZID-1304384146,1
BZID-1304452393,1
BZID-1304395879,1
BZID-1304454671,1
BZID-1304408781,7
BZID-1304378475,8
BZID-1304461190,3
BZID-1304365825,1
BZID-1304610995,1
BZID-1304459854,1
BZID-1304353173,2
BZID-1304461631,2
BZID-1304458361,1
BZID-1304413322,1
BZID-1304381574,1
BZID-1304372995,1
BZID-1304377332,3
BZID-1304423360,1
BZID-1304381063,6
BZID-1304378742,1
BZID-1304441740,1
BZID-1304408884,2
BZID-1304441036,3
BZID-1304384450,2
BZID-1304441061,1
BZID-1304611140,2
BZID-1304463390,1
BZID-1304459787,1
BZID-1304360835,10
BZID-1304378941,6
BZID-1304363417,1
BZID-1304381173,1
BZID-1304434484,2
BZID-1304442194,1
BZID-1304426146,1
BZID-1304355629,1
BZID-1304436034,6
BZID-1304361335,2
BZID-1304459315,3
BZID-1304425242,2
BZID-1304417500,2
BZID-1304448557,1
BZID-1304480137,1
BZID-1304373920,2
BZID-1304392366,1
BZID-1304385737,1
BZID-1304450656,2
BZID-1304401071,2
BZID-1304429841,5
BZID-1304429762,1
BZID-1304600717,2
BZID-1304351085,2
BZID-1304433199,5
BZID-1304393600,1
BZID-1304396202,1
BZID-1304375413,1
BZID-1304480171,1
BZID-1304463946,1
BZID-1304424352,3
BZID-1304474037,4
BZID-1304417920,1
BZID-1304598538,1
BZID-1304408130,4
BZID-1304398624,1
BZID-1304476371,1
BZID-1304594903,2
BZID-1304363029,3
BZID-1304473617,2
BZID-1304473722,1
BZID-1304472596,1
BZID-1304550922,1
BZID-1304440343,1
BZID-1304436110,2
BZID-1304422112,8
BZID-1304474700,1
BZID-1304435686,1
BZID-1304461832,2
BZID-1304427621,4
BZID-1304433978,1
BZID-1304447641,2
BZID-1304462599,1
BZID-1304388384,1
BZID-1304402961,1
BZID-1304578414,4
BZID-1304408740,10
BZID-1304427357,1
BZID-1304391370,1
BZID-1304407805,1
BZID-1304430261,1
BZID-1304600320,1
BZID-1304422033,6
BZID-1304441946,3
BZID-1304479920,1
BZID-1304362953,2
BZID-1304395688,1
BZID-1304467576,1
BZID-1304466804,1
BZID-1304367331,1
BZID-1304429565,14
BZID-1304352536,5
BZID-1304386942,5
BZID-1304415627,1
BZID-1304421978,5
BZID-1304409423,2
BZID-1304418706,20
BZID-1304355606,2
BZID-1304468650,5
BZID-1304370460,2
BZID-1304422371,3
BZID-1304415212,1
BZID-1304447186,5
BZID-1304438466,28
BZID-1304450647,1
BZID-1304376759,2
BZID-1304369286,1
BZID-1304369189,4
BZID-1304367045,1
BZID-1304386724,3
BZID-1304407909,3
BZID-1304370395,2
BZID-1304438155,12
BZID-1304595004,1
BZID-1304418883,2
BZID-1304461470,1
BZID-1304390159,9
BZID-1304578045,10
BZID-1304362290,1
BZID-1304378433,1
BZID-1304460926,6
BZID-1304436501,1
BZID-1304549754,3
BZID-1304428456,7
BZID-1304547436,3
BZID-1304375300,6
BZID-1304422561,14
BZID-1304609755,10
BZID-1304381708,1
BZID-1304605605,1
BZID-1304449539,5
BZID-1304438497,1
BZID-1304381148,2
BZID-1304361674,2
BZID-1304600125,3
BZID-1304424504,4
BZID-1304416651,31
BZID-1304480162,1
BZID-1304402275,1
BZID-1304362442,1
BZID-1304365520,1
BZID-1304460325,1
BZID-1304442407,2
BZID-1304605236,8
BZID-1304437414,2
BZID-1304408457,1
BZID-1304574891,2
BZID-1304424430,16
BZID-1304449593,4
BZID-1304441053,1
BZID-1304437480,1
BZID-1304444180,1
BZID-1304426470,2
BZID-1304351374,1
BZID-1304426741,3
BZID-1304432472,1
BZID-1304363690,3
BZID-1304556664,1
BZID-1304429537,4
BZID-1304350613,3
BZID-1304407034,1
BZID-1304598612,1
BZID-1304402122,9
BZID-1304438611,1
BZID-1304385050,36
BZID-1304408184,1
BZID-1304609069,8
BZID-1304595778,12
BZID-1304362891,1
BZID-1304350978,1
BZID-1304398355,1
BZID-1304381243,7
BZID-1304554739,1
BZID-1304557276,1
BZID-1304425855,3
BZID-1304373008,7
BZID-1304434197,11
BZID-1304368014,6
BZID-1304437209,10
BZID-1304349838,2
BZID-1304467366,2
BZID-1304369769,1
BZID-1304399739,3
BZID-1304562447,5
BZID-1304378022,1
BZID-1304448360,5
BZID-1304435450,16
BZID-1304378629,11
BZID-1304452546,4
BZID-1304565101,2
