business_id,sc_points_red,sc_rewards_count
BZID-1304478635,550.0,1
BZID-1304416934,550.0,1
BZID-1304456139,3500.0,1
BZID-1304389792,1200.0,1
BZID-1304465793,1200.0,1
BZID-1304471202,7500.0,1
BZID-1304461863,1850.0,2
BZID-1304450993,4000.0,2
BZID-1304462810,4500.0,1
BZID-1304424640,550.0,1
BZID-1304401997,1300.0,1
BZID-1304457573,4500.0,1
BZID-1304470871,2700.0,1
BZID-1304476881,1200.0,1
BZID-1304474914,7500.0,1
BZID-1304466913,1200.0,1
BZID-1304435509,4500.0,1
BZID-1304479438,550.0,1
BZID-1304433320,550.0,1
BZID-1304426682,2100.0,1
BZID-1304479555,3400.0,2
BZID-1304478124,3200.0,1
BZID-1304425808,3800.0,1
BZID-1304470107,3250.0,2
BZID-1304479386,1200.0,1
BZID-1304430039,1200.0,1
BZID-1304475527,550.0,1
BZID-1304475917,2100.0,1
BZID-1304457391,550.0,1
BZID-1304456885,1200.0,1
BZID-1304474560,5400.0,1
BZID-1304474767,4500.0,1
BZID-1304430598,2700.0,1
BZID-1304457397,550.0,1
BZID-1304463808,17000.0,1
BZID-1304467687,2000.0,1
BZID-1304423181,1100.0,1
BZID-1304479391,3200.0,1
BZID-1304435518,1200.0,1
BZID-1304409921,1200.0,1
BZID-1304419980,550.0,1
BZID-1304410230,1300.0,1
BZID-1304466822,11050.0,2
BZID-1304434530,4000.0,2
BZID-1304470354,2700.0,1
BZID-1304437172,1200.0,1
BZID-1304448213,12600.0,2
BZID-1304477841,2400.0,1
BZID-1304479456,1200.0,1
BZID-1304465371,4500.0,1
BZID-1304466947,550.0,1
BZID-1304459754,2250.0,1
BZID-1304472104,32500.0,1
BZID-1304470762,32500.0,1
BZID-1304472692,4500.0,1
BZID-1304463584,3200.0,1
BZID-1304458693,5000.0,1
BZID-1304480092,4500.0,1
BZID-1304471467,5300.0,2
BZID-1304471752,6600.0,2
BZID-1304457848,4500.0,1
BZID-1304457787,3800.0,1
BZID-1304478673,2700.0,1
BZID-1304472444,9000.0,1
BZID-1304436590,2700.0,1
BZID-1304477973,9000.0,1
BZID-1304421871,1200.0,1
BZID-1304416863,2250.0,1
BZID-1304458827,9000.0,1
BZID-1304472039,2700.0,1
BZID-1304415942,2100.0,1
BZID-1304452614,3800.0,1
BZID-1304443197,1750.0,2
BZID-1304474989,8000.0,1
BZID-1304478268,1300.0,1
BZID-1304452537,1200.0,1
BZID-1304466774,2250.0,1
BZID-1304476650,1200.0,1
BZID-1304441396,1300.0,1
BZID-1304474634,5000.0,1
BZID-1304456365,2700.0,1
BZID-1304475830,1200.0,1
BZID-1304477226,13500.0,2
BZID-1304461824,2700.0,1
BZID-1304473640,7500.0,1
BZID-1304466067,2100.0,1
BZID-1304477407,32500.0,1
BZID-1304435501,4800.0,2
BZID-1304427188,1200.0,1
BZID-1304426880,1200.0,1
BZID-1304470183,2100.0,1
BZID-1304463381,1200.0,1
BZID-1304478423,2100.0,1
BZID-1304464619,1200.0,1
BZID-1304478740,9000.0,1
BZID-1304460671,550.0,1
BZID-1304471253,2250.0,1
BZID-1304474942,2700.0,1
BZID-1304480014,2600.0,1
BZID-1304474980,1200.0,1
BZID-1304419767,1200.0,1
BZID-1304450550,1300.0,1
BZID-1304479608,19150.0,3
BZID-1304472062,2100.0,1
BZID-1304433148,7500.0,1
BZID-1304477460,1200.0,1
BZID-1304459223,1200.0,1
BZID-1304463801,550.0,1
BZID-1304443517,2700.0,1
BZID-1304471662,4500.0,1
BZID-1304444763,1200.0,1
BZID-1304471448,10500.0,1
BZID-1304470261,1300.0,1
BZID-1304460540,2700.0,1
BZID-1304438560,550.0,1
BZID-1304399982,1200.0,1
BZID-1304474116,2000.0,1
BZID-1304459660,2700.0,1
BZID-1304445674,550.0,1
BZID-1304393044,2700.0,1
BZID-1304435616,550.0,1
BZID-1304465203,17000.0,1
BZID-1304444736,550.0,1
BZID-1304465925,3250.0,2
BZID-1304458464,2100.0,1
BZID-1304429178,550.0,1
BZID-1304428373,1300.0,1
BZID-1304425833,1200.0,1
BZID-1304476150,1200.0,1
BZID-1304478059,2700.0,1
BZID-1304434804,2100.0,1
BZID-1304473778,13200.0,2
BZID-1304474138,3800.0,1
BZID-1304474118,7500.0,1
BZID-1304424105,9000.0,1
BZID-1304406880,1850.0,2
BZID-1304477143,32500.0,1
BZID-1304470175,4350.0,2
BZID-1304456086,10500.0,1
BZID-1304465871,2700.0,1
BZID-1304449336,1200.0,1
BZID-1304474986,10500.0,1
BZID-1304433462,4500.0,1
BZID-1304432053,2700.0,1
BZID-1304425757,1200.0,1
BZID-1304431518,1200.0,1
BZID-1304465266,2100.0,1
BZID-1304439724,7100.0,2
BZID-1304463920,2700.0,1
BZID-1304462972,1750.0,2
BZID-1304411832,10000.0,3
BZID-1304466707,2800.0,2
BZID-1304469387,1200.0,1
BZID-1304473707,550.0,1
BZID-1304414728,550.0,1
BZID-1304391405,550.0,1
BZID-1304458347,1300.0,1
BZID-1304476455,550.0,1
BZID-1304471849,7200.0,2
BZID-1304467120,43800.0,2
BZID-1304476672,17000.0,1
BZID-1304471179,1200.0,1
BZID-1304461382,2100.0,1
BZID-1304474504,3750.0,2
BZID-1304475718,9000.0,1
BZID-1304441155,550.0,1
BZID-1304471333,3500.0,1
BZID-1304467579,5600.0,2
BZID-1304470022,7500.0,1
BZID-1304409624,1100.0,1
BZID-1304471461,4500.0,1
BZID-1304425093,5000.0,1
BZID-1304467024,1200.0,1
BZID-1304423217,3800.0,1
BZID-1304387286,1200.0,1
BZID-1304467916,9300.0,2
BZID-1304467642,1200.0,1
BZID-1304466127,3800.0,1
BZID-1304462124,1200.0,1
BZID-1304437834,550.0,1
BZID-1304420400,1200.0,1
BZID-1304472875,2100.0,1
BZID-1304466387,7100.0,2
BZID-1304460180,1300.0,1
BZID-1304471087,2700.0,1
BZID-1304446139,2000.0,1
BZID-1304401852,1200.0,1
BZID-1304469253,1200.0,1
BZID-1304431380,2000.0,1
BZID-1304434587,1300.0,1
BZID-1304457359,11000.0,1
BZID-1304452401,3200.0,1
BZID-1304423940,3500.0,1
BZID-1304472590,9000.0,1
BZID-1304470387,2100.0,1
BZID-1304405639,1200.0,1
BZID-1304466194,10500.0,1
BZID-1304415340,5000.0,1
BZID-1304448572,3300.0,2
BZID-1304475446,550.0,1
BZID-1304475816,2100.0,1
BZID-1304470177,17000.0,1
BZID-1304450181,550.0,1
BZID-1304471770,2100.0,1
BZID-1304419139,550.0,1
BZID-1304474788,2100.0,1
BZID-1304475001,18000.0,1
BZID-1304369962,550.0,1
BZID-1304456898,1200.0,1
BZID-1304471737,4500.0,1
BZID-1304391846,550.0,1
BZID-1304456661,2100.0,1
BZID-1304474425,9000.0,1
BZID-1304467726,32500.0,1
BZID-1304479295,1200.0,1
BZID-1304471255,2700.0,1
BZID-1304474428,9000.0,1
BZID-1304479134,4500.0,1
BZID-1304423247,8000.0,1
BZID-1304473633,1200.0,1
BZID-1304470741,33500.0,1
