businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304421879,44,35,22
BZID-1304474189,51,41,23
BZID-1304462237,63,62,58
BZID-1304358119,55,54,47
BZID-1304600735,6,6,4
BZID-1304403253,8,1,1
BZID-1304367582,11,8,4
BZID-1304476691,57,48,35
BZID-1304451305,50,49,21
BZID-1304384102,19,15,5
BZID-1304405918,58,55,29
BZID-1304419059,62,59,26
BZID-1304471244,17,9,8
BZID-1304465401,60,59,52
BZID-1304375363,59,58,29
BZID-1304428107,55,49,36
BZID-1304426910,34,28,18
BZID-1304474282,62,56,49
BZID-1304451275,35,15,9
BZID-1304464729,60,59,37
BZID-1304417613,61,59,34
BZID-1304464011,46,42,19
BZID-1304460212,61,48,40
BZID-1304600972,20,15,9
BZID-1304590474,59,59,57
BZID-1304446465,63,63,52
BZID-1304461678,42,34,23
BZID-1304385289,54,54,21
BZID-1304369688,35,18,12
BZID-1304364729,12,12,11
BZID-1304467017,59,50,39
BZID-1304351587,21,18,11
BZID-1304478515,39,37,11
BZID-1304414200,48,39,26
BZID-1304479433,62,55,52
BZID-1304609433,42,40,5
BZID-1304480137,63,60,46
BZID-1304441061,61,59,54
BZID-1304430708,35,24,9
BZID-1304352701,34,26,17
BZID-1304478133,60,51,46
BZID-1304608523,23,20,11
BZID-1304404546,28,19,11
BZID-1304458275,54,53,34
BZID-1304384043,50,47,15
BZID-1304392127,46,43,14
BZID-1304480152,63,63,59
BZID-1304595023,51,48,39
BZID-1304595129,28,21,9
BZID-1304577739,48,46,35
BZID-1304424229,19,15,10
BZID-1304468625,60,59,53
BZID-1304366836,34,29,7
BZID-1304465311,4,1,1
BZID-1304349571,30,20,9
BZID-1304465209,60,58,17
BZID-1304600734,56,54,42
BZID-1304435758,61,48,43
BZID-1304414761,38,31,21
BZID-1304372436,62,62,40
BZID-1304600867,17,11,6
BZID-1304397301,63,61,41
BZID-1304419842,50,48,19
BZID-1304417239,52,43,22
BZID-1304399760,29,17,5
BZID-1304463184,46,37,17
BZID-1304563370,1,1,1
BZID-1304349621,63,60,40
BZID-1304421646,52,46,29
BZID-1304371796,18,13,2
BZID-1304421140,60,59,48
BZID-1304423221,63,62,47
BZID-1304406730,58,53,41
BZID-1304410559,62,62,49
BZID-1304416013,63,62,47
BZID-1304392755,39,34,18
BZID-1304443787,61,58,41
BZID-1304470463,58,56,38
BZID-1304598650,30,24,8
BZID-1304358610,45,36,24
BZID-1304460062,55,33,27
BZID-1304381195,46,43,28
BZID-1304360670,9,9,1
BZID-1304380394,58,57,21
BZID-1304394065,15,8,9
BZID-1304477738,18,14,5
BZID-1304428880,35,26,12
BZID-1304438067,52,42,19
BZID-1304400996,43,28,21
BZID-1304428474,56,53,40
BZID-1304373460,55,51,34
BZID-1304576868,30,26,8
BZID-1304386069,63,63,58
BZID-1304356021,58,50,25
BZID-1304389693,44,43,19
BZID-1304604329,59,54,45
BZID-1304385157,63,63,42
BZID-1304590619,45,39,23
BZID-1304401355,61,55,41
BZID-1304577713,53,52,8
BZID-1304419764,59,55,25
BZID-1304478691,63,60,54
BZID-1304412988,37,35,17
BZID-1304597921,47,43,6
BZID-1304563878,22,15,4
BZID-1304361562,34,25,21
BZID-1304610696,36,34,8
BZID-1304606899,28,24,17
BZID-1304596719,24,16,10
BZID-1304474948,63,52,47
BZID-1304372670,7,4,0
BZID-1304463493,63,63,51
BZID-1304476099,31,15,9
BZID-1304364181,22,17,6
BZID-1304418934,57,53,45
BZID-1304446448,17,12,8
BZID-1304419957,7,6,4
BZID-1304457735,54,49,39
BZID-1304393295,33,29,17
BZID-1304476825,55,41,38
BZID-1304420511,37,36,22
BZID-1304415308,61,59,49
BZID-1304361734,26,18,6
BZID-1304466937,63,58,54
BZID-1304478349,63,57,43
BZID-1304412101,63,59,53
BZID-1304381935,34,30,17
BZID-1304398902,21,18,6
BZID-1304563989,35,24,14
BZID-1304470320,61,47,42
BZID-1304364249,45,40,10
BZID-1304590510,7,5,5
BZID-1304407656,48,44,41
BZID-1304428298,61,56,39
BZID-1304472129,53,52,33
BZID-1304388222,44,36,31
BZID-1304431986,58,57,38
BZID-1304449251,8,7,0
BZID-1304604954,40,24,16
BZID-1304363885,26,19,17
BZID-1304420424,61,47,37
BZID-1304456806,17,15,0
BZID-1304427251,2,2,1
BZID-1304597740,58,57,21
BZID-1304449097,63,63,62
BZID-1304596829,29,26,14
BZID-1304466382,16,12,7
BZID-1304405943,36,33,24
BZID-1304354550,44,33,29
BZID-1304408694,48,44,39
BZID-1304412970,56,52,17
BZID-1304597728,57,50,36
BZID-1304382446,54,53,15
BZID-1304479353,49,34,14
BZID-1304467230,63,63,58
BZID-1304470505,59,55,16
BZID-1304466576,44,33,8
BZID-1304352509,54,46,30
BZID-1304576572,10,9,8
BZID-1304408217,8,5,5
BZID-1304351283,25,22,14
BZID-1304423563,27,26,10
BZID-1304394882,36,32,8
BZID-1304402818,52,48,24
BZID-1304363067,63,62,46
BZID-1304368337,43,40,15
BZID-1304360831,62,44,24
BZID-1304598434,44,36,24
BZID-1304421009,54,50,30
BZID-1304595173,61,59,34
BZID-1304383222,55,50,38
BZID-1304375507,59,58,29
BZID-1304450656,63,55,54
